filepath,filename,video_id,original_class,shot_type,has_text,joint_label
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_001.jpg,0001_cut_001.jpg,1,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_002.jpg,0001_cut_002.jpg,1,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_004.jpg,0001_cut_004.jpg,1,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0001_cut_003.jpg,0001_cut_003.jpg,1,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_006.jpg,0002_cut_006.jpg,2,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_007.jpg,0002_cut_007.jpg,2,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_008.jpg,0002_cut_008.jpg,2,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_013.jpg,0002_cut_013.jpg,2,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_014.jpg,0002_cut_014.jpg,2,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_001.jpg,0002_cut_001.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_002.jpg,0002_cut_002.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_003.jpg,0002_cut_003.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_004.jpg,0002_cut_004.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_005.jpg,0002_cut_005.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_009.jpg,0002_cut_009.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_010.jpg,0002_cut_010.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_011.jpg,0002_cut_011.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_012.jpg,0002_cut_012.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_015.jpg,0002_cut_015.jpg,2,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_002.jpg,0003_cut_002.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_004.jpg,0003_cut_004.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_005.jpg,0003_cut_005.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_006.jpg,0003_cut_006.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_008.jpg,0003_cut_008.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_009.jpg,0003_cut_009.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_011.jpg,0003_cut_011.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_013.jpg,0003_cut_013.jpg,3,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_003.jpg,0003_cut_003.jpg,3,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_007.jpg,0003_cut_007.jpg,3,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_010.jpg,0003_cut_010.jpg,3,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_012.jpg,0003_cut_012.jpg,3,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_014.jpg,0003_cut_014.jpg,3,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\wide_text\0003_cut_001.jpg,0003_cut_001.jpg,3,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_006.jpg,0004_cut_006.jpg,4,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_009.jpg,0004_cut_009.jpg,4,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_010.jpg,0004_cut_010.jpg,4,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_001.jpg,0004_cut_001.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_002.jpg,0004_cut_002.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_003.jpg,0004_cut_003.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_004.jpg,0004_cut_004.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_005.jpg,0004_cut_005.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_007.jpg,0004_cut_007.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_008.jpg,0004_cut_008.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_011.jpg,0004_cut_011.jpg,4,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0004_cut_012.jpg,0004_cut_012.jpg,4,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0005_cut_013.jpg,0005_cut_013.jpg,5,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\object_notext\0005_cut_001.jpg,0005_cut_001.jpg,5,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_003.jpg,0005_cut_003.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_005.jpg,0005_cut_005.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_007.jpg,0005_cut_007.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_008.jpg,0005_cut_008.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_010.jpg,0005_cut_010.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_012.jpg,0005_cut_012.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_014.jpg,0005_cut_014.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_016.jpg,0005_cut_016.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_017.jpg,0005_cut_017.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_018.jpg,0005_cut_018.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_019.jpg,0005_cut_019.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_020.jpg,0005_cut_020.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_021.jpg,0005_cut_021.jpg,5,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\space_text\0005_cut_009.jpg,0005_cut_009.jpg,5,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_002.jpg,0005_cut_002.jpg,5,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_004.jpg,0005_cut_004.jpg,5,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_011.jpg,0005_cut_011.jpg,5,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_001.jpg,0006_cut_001.jpg,6,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_002.jpg,0006_cut_002.jpg,6,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_003.jpg,0006_cut_003.jpg,6,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_004.jpg,0006_cut_004.jpg,6,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_005.jpg,0006_cut_005.jpg,6,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0007_cut_001.jpg,0007_cut_001.jpg,7,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_002.jpg,0007_cut_002.jpg,7,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_003.jpg,0007_cut_003.jpg,7,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_004.jpg,0007_cut_004.jpg,7,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\space_text\0007_cut_006.jpg,0007_cut_006.jpg,7,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_005.jpg,0007_cut_005.jpg,7,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_007.jpg,0007_cut_007.jpg,7,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_008.jpg,0007_cut_008.jpg,7,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_003.jpg,0008_cut_003.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_009.jpg,0008_cut_009.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_011.jpg,0008_cut_011.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_012.jpg,0008_cut_012.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_013.jpg,0008_cut_013.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_016.jpg,0008_cut_016.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_017.jpg,0008_cut_017.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_021.jpg,0008_cut_021.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_022.jpg,0008_cut_022.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_023.jpg,0008_cut_023.jpg,8,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_001.jpg,0008_cut_001.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_002.jpg,0008_cut_002.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_004.jpg,0008_cut_004.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_005.jpg,0008_cut_005.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_006.jpg,0008_cut_006.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_007.jpg,0008_cut_007.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_010.jpg,0008_cut_010.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_014.jpg,0008_cut_014.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_018.jpg,0008_cut_018.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_019.jpg,0008_cut_019.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_024.jpg,0008_cut_024.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_025.jpg,0008_cut_025.jpg,8,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0008_cut_015.jpg,0008_cut_015.jpg,8,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_001.jpg,0009_cut_001.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_002.jpg,0009_cut_002.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_003.jpg,0009_cut_003.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_004.jpg,0009_cut_004.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_005.jpg,0009_cut_005.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_006.jpg,0009_cut_006.jpg,9,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\medium_notext\0010_cut_002.jpg,0010_cut_002.jpg,10,medium_notext,medium,0,medium_notext
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_001.jpg,0010_cut_001.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_003.jpg,0010_cut_003.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_008.jpg,0010_cut_008.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_011.jpg,0010_cut_011.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_012.jpg,0010_cut_012.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_013.jpg,0010_cut_013.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_016.jpg,0010_cut_016.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_021.jpg,0010_cut_021.jpg,10,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_004.jpg,0010_cut_004.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_005.jpg,0010_cut_005.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_006.jpg,0010_cut_006.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_007.jpg,0010_cut_007.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_009.jpg,0010_cut_009.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_010.jpg,0010_cut_010.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_014.jpg,0010_cut_014.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_017.jpg,0010_cut_017.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_018.jpg,0010_cut_018.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_020.jpg,0010_cut_020.jpg,10,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\space_text\0010_cut_019.jpg,0010_cut_019.jpg,10,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_002.jpg,0011_cut_002.jpg,11,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_015.jpg,0011_cut_015.jpg,11,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_016.jpg,0011_cut_016.jpg,11,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_001.jpg,0011_cut_001.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_003.jpg,0011_cut_003.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_005.jpg,0011_cut_005.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_009.jpg,0011_cut_009.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_010.jpg,0011_cut_010.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_012.jpg,0011_cut_012.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_013.jpg,0011_cut_013.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_014.jpg,0011_cut_014.jpg,11,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\object_text\0011_cut_008.jpg,0011_cut_008.jpg,11,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_004.jpg,0011_cut_004.jpg,11,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_006.jpg,0011_cut_006.jpg,11,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_007.jpg,0011_cut_007.jpg,11,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_011.jpg,0011_cut_011.jpg,11,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_002.jpg,0012_cut_002.jpg,12,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_005.jpg,0012_cut_005.jpg,12,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_006.jpg,0012_cut_006.jpg,12,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\space_text\0012_cut_001.jpg,0012_cut_001.jpg,12,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\space_text\0012_cut_003.jpg,0012_cut_003.jpg,12,space_text,space,1,space_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0012_cut_004.jpg,0012_cut_004.jpg,12,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_006.jpg,0013_cut_006.jpg,13,close-up_notext,close-up,0,close-up_notext
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_012.jpg,0013_cut_012.jpg,13,close-up_notext,close-up,0,close-up_notext
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_017.jpg,0013_cut_017.jpg,13,close-up_notext,close-up,0,close-up_notext
C:\Temp\shot-classification\labeled_dataset\close-up_text\0013_cut_002.jpg,0013_cut_002.jpg,13,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_009.jpg,0013_cut_009.jpg,13,medium_notext,medium,0,medium_notext
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_014.jpg,0013_cut_014.jpg,13,medium_notext,medium,0,medium_notext
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_021.jpg,0013_cut_021.jpg,13,medium_notext,medium,0,medium_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_003.jpg,0013_cut_003.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_004.jpg,0013_cut_004.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_005.jpg,0013_cut_005.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_007.jpg,0013_cut_007.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_008.jpg,0013_cut_008.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_010.jpg,0013_cut_010.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_011.jpg,0013_cut_011.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_013.jpg,0013_cut_013.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_015.jpg,0013_cut_015.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_016.jpg,0013_cut_016.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_018.jpg,0013_cut_018.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_019.jpg,0013_cut_019.jpg,13,object_notext,object,0,object_notext
C:\Temp\shot-classification\labeled_dataset\object_text\0013_cut_001.jpg,0013_cut_001.jpg,13,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\wide_notext\0013_cut_022.jpg,0013_cut_022.jpg,13,wide_notext,wide,0,wide_notext
C:\Temp\shot-classification\labeled_dataset\medium_text\0014_cut_006.jpg,0014_cut_006.jpg,14,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0014_cut_007.jpg,0014_cut_007.jpg,14,medium_text,medium,1,medium_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_001.jpg,0014_cut_001.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_002.jpg,0014_cut_002.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_003.jpg,0014_cut_003.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_004.jpg,0014_cut_004.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_005.jpg,0014_cut_005.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_008.jpg,0014_cut_008.jpg,14,wide_text,wide,1,wide_text
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0015_cut_001.jpg,0015_cut_001.jpg,15,close-up_notext,close-up,0,close-up_notext
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_004.jpg,0015_cut_004.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_007.jpg,0015_cut_007.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_009.jpg,0015_cut_009.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_010.jpg,0015_cut_010.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_011.jpg,0015_cut_011.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_012.jpg,0015_cut_012.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_013.jpg,0015_cut_013.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_014.jpg,0015_cut_014.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_015.jpg,0015_cut_015.jpg,15,close-up_text,close-up,1,close-up_text
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_005.jpg,0015_cut_005.jpg,15,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_006.jpg,0015_cut_006.jpg,15,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_008.jpg,0015_cut_008.jpg,15,object_text,object,1,object_text
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_001.jpg,0016_cut_001.jpg,16,medium_text,medium,1,medium_text
