filepath,filename,original_class,reason
C:\Temp\shot-classification\labeled_dataset\unclear\0005_cut_006.jpg,0005_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0005_cut_015.jpg,0005_cut_015.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0008_cut_008.jpg,0008_cut_008.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0008_cut_020.jpg,0008_cut_020.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0013_cut_020.jpg,0013_cut_020.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0015_cut_003.jpg,0015_cut_003.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0018_cut_003.jpg,0018_cut_003.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0018_cut_005.jpg,0018_cut_005.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0020_cut_001.jpg,0020_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0040_cut_015.jpg,0040_cut_015.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0047_cut_006.jpg,0047_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0056_cut_020.jpg,0056_cut_020.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0060_cut_001.jpg,0060_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0061_cut_006.jpg,0061_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0062_cut_005.jpg,0062_cut_005.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0062_cut_006.jpg,0062_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0063_cut_001.jpg,0063_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0066_cut_001.jpg,0066_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0066_cut_006.jpg,0066_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0066_cut_007.jpg,0066_cut_007.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0069_cut_004.jpg,0069_cut_004.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0071_cut_001.jpg,0071_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0071_cut_008.jpg,0071_cut_008.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0071_cut_009.jpg,0071_cut_009.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0074_cut_003.jpg,0074_cut_003.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0079_cut_005.jpg,0079_cut_005.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0080_cut_007.jpg,0080_cut_007.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0093_cut_010.jpg,0093_cut_010.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0094_cut_001.jpg,0094_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0097_cut_004.jpg,0097_cut_004.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0097_cut_006.jpg,0097_cut_006.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0100_cut_001.jpg,0100_cut_001.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0100_cut_004.jpg,0100_cut_004.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0100_cut_005.jpg,0100_cut_005.jpg,unclear,unsupported_label
C:\Temp\shot-classification\labeled_dataset\unclear\0100_cut_009.jpg,0100_cut_009.jpg,unclear,unsupported_label
