filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_001.jpg,0001_cut_001.jpg,0001,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_002.jpg,0001_cut_002.jpg,0001,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_004.jpg,0001_cut_004.jpg,0001,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\wide_text\0001_cut_003.jpg,0001_cut_003.jpg,0001,wide_text,wide,1,wide_text,train
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_006.jpg,0002_cut_006.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_007.jpg,0002_cut_007.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_008.jpg,0002_cut_008.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_013.jpg,0002_cut_013.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_014.jpg,0002_cut_014.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_001.jpg,0002_cut_001.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_002.jpg,0002_cut_002.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_003.jpg,0002_cut_003.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_004.jpg,0002_cut_004.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_005.jpg,0002_cut_005.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_009.jpg,0002_cut_009.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_010.jpg,0002_cut_010.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_011.jpg,0002_cut_011.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_012.jpg,0002_cut_012.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_015.jpg,0002_cut_015.jpg,0002,object_text,object,1,object_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_002.jpg,0003_cut_002.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_004.jpg,0003_cut_004.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_005.jpg,0003_cut_005.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_006.jpg,0003_cut_006.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_008.jpg,0003_cut_008.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_009.jpg,0003_cut_009.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_011.jpg,0003_cut_011.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_013.jpg,0003_cut_013.jpg,0003,medium_text,medium,1,medium_text,train
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_003.jpg,0003_cut_003.jpg,0003,wide_notext,wide,0,wide_notext,train
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_007.jpg,0003_cut_007.jpg,0003,wide_notext,wide,0,wide_notext,train
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_010.jpg,0003_cut_010.jpg,0003,wide_notext,wide,0,wide_notext,train
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_012.jpg,0003_cut_012.jpg,0003,wide_notext,wide,0,wide_notext,train
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_014.jpg,0003_cut_014.jpg,0003,wide_notext,wide,0,wide_notext,train
