filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_001.jpg,0001_cut_001.jpg,0001,medium_text,medium,1,medium_text,train,0
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_002.jpg,0001_cut_002.jpg,0001,medium_text,medium,1,medium_text,train,1
C:\Temp\shot-classification\labeled_dataset\medium_text\0001_cut_004.jpg,0001_cut_004.jpg,0001,medium_text,medium,1,medium_text,train,2
C:\Temp\shot-classification\labeled_dataset\wide_text\0001_cut_003.jpg,0001_cut_003.jpg,0001,wide_text,wide,1,wide_text,train,3
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_006.jpg,0002_cut_006.jpg,0002,close-up_text,close-up,1,close-up_text,train,4
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_007.jpg,0002_cut_007.jpg,0002,close-up_text,close-up,1,close-up_text,train,5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_008.jpg,0002_cut_008.jpg,0002,close-up_text,close-up,1,close-up_text,train,6
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_013.jpg,0002_cut_013.jpg,0002,close-up_text,close-up,1,close-up_text,train,7
C:\Temp\shot-classification\labeled_dataset\close-up_text\0002_cut_014.jpg,0002_cut_014.jpg,0002,close-up_text,close-up,1,close-up_text,train,8
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_001.jpg,0002_cut_001.jpg,0002,object_text,object,1,object_text,train,9
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_002.jpg,0002_cut_002.jpg,0002,object_text,object,1,object_text,train,10
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_003.jpg,0002_cut_003.jpg,0002,object_text,object,1,object_text,train,11
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_004.jpg,0002_cut_004.jpg,0002,object_text,object,1,object_text,train,12
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_005.jpg,0002_cut_005.jpg,0002,object_text,object,1,object_text,train,13
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_009.jpg,0002_cut_009.jpg,0002,object_text,object,1,object_text,train,14
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_010.jpg,0002_cut_010.jpg,0002,object_text,object,1,object_text,train,15
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_011.jpg,0002_cut_011.jpg,0002,object_text,object,1,object_text,train,16
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_012.jpg,0002_cut_012.jpg,0002,object_text,object,1,object_text,train,17
C:\Temp\shot-classification\labeled_dataset\object_text\0002_cut_015.jpg,0002_cut_015.jpg,0002,object_text,object,1,object_text,train,18
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_002.jpg,0003_cut_002.jpg,0003,medium_text,medium,1,medium_text,train,19
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_004.jpg,0003_cut_004.jpg,0003,medium_text,medium,1,medium_text,train,20
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_005.jpg,0003_cut_005.jpg,0003,medium_text,medium,1,medium_text,train,21
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_006.jpg,0003_cut_006.jpg,0003,medium_text,medium,1,medium_text,train,22
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_008.jpg,0003_cut_008.jpg,0003,medium_text,medium,1,medium_text,train,23
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_009.jpg,0003_cut_009.jpg,0003,medium_text,medium,1,medium_text,train,24
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_011.jpg,0003_cut_011.jpg,0003,medium_text,medium,1,medium_text,train,25
C:\Temp\shot-classification\labeled_dataset\medium_text\0003_cut_013.jpg,0003_cut_013.jpg,0003,medium_text,medium,1,medium_text,train,26
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_003.jpg,0003_cut_003.jpg,0003,wide_notext,wide,0,wide_notext,train,27
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_007.jpg,0003_cut_007.jpg,0003,wide_notext,wide,0,wide_notext,train,28
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_010.jpg,0003_cut_010.jpg,0003,wide_notext,wide,0,wide_notext,train,29
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_012.jpg,0003_cut_012.jpg,0003,wide_notext,wide,0,wide_notext,train,30
C:\Temp\shot-classification\labeled_dataset\wide_notext\0003_cut_014.jpg,0003_cut_014.jpg,0003,wide_notext,wide,0,wide_notext,train,31
C:\Temp\shot-classification\labeled_dataset\wide_text\0003_cut_001.jpg,0003_cut_001.jpg,0003,wide_text,wide,1,wide_text,train,32
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_006.jpg,0004_cut_006.jpg,0004,close-up_text,close-up,1,close-up_text,train,33
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_009.jpg,0004_cut_009.jpg,0004,close-up_text,close-up,1,close-up_text,train,34
C:\Temp\shot-classification\labeled_dataset\close-up_text\0004_cut_010.jpg,0004_cut_010.jpg,0004,close-up_text,close-up,1,close-up_text,train,35
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_001.jpg,0004_cut_001.jpg,0004,object_text,object,1,object_text,train,36
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_002.jpg,0004_cut_002.jpg,0004,object_text,object,1,object_text,train,37
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_003.jpg,0004_cut_003.jpg,0004,object_text,object,1,object_text,train,38
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_004.jpg,0004_cut_004.jpg,0004,object_text,object,1,object_text,train,39
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_005.jpg,0004_cut_005.jpg,0004,object_text,object,1,object_text,train,40
