bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,28,0.75,0.5443013310432434,0.2056986689567566
0.6000000000000001,0.7000000000000001,34,0.7058823529411765,0.6590884327888489,0.04679392015232764
0.7000000000000001,0.8,38,0.7631578947368421,0.7516642212867737,0.011493673450068465
0.8,0.9,49,0.9387755102040817,0.8616158366203308,0.07715967358375087
0.9,1.0,126,1.0,0.9422406554222107,0.05775934457778931
