filename,video_id,true_shot,shot_wrong_count,wrong_pred_distribution,wrong_models
0019_cut_002.jpg,19,close-up,7,medium:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0056_cut_001.jpg,56,close-up,7,object:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0056_cut_018.jpg,56,close-up,7,object:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0097_cut_003.jpg,97,close-up,7,"object:6, wide:1","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0097_cut_005.jpg,97,close-up,7,object:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0119_cut_001.jpg,119,close-up,7,medium:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0119_cut_011.jpg,119,close-up,7,medium:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0122_cut_001.jpg,122,close-up,7,object:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0030_cut_009.jpg,30,medium,7,wide:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0097_cut_008.jpg,97,medium,7,"wide:5, object:1, space:1","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0106_cut_008.jpg,106,medium,7,"space:4, wide:3","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0139_cut_003.jpg,139,medium,7,"space:6, wide:1","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0139_cut_004.jpg,139,medium,7,"space:6, wide:1","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0194_cut_002.jpg,194,medium,7,close-up:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0211_cut_006.jpg,211,medium,7,close-up:7,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0030_cut_013.jpg,30,close-up,6,"object:4, medium:2","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0211_cut_007.jpg,211,close-up,6,object:6,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0110_cut_005.jpg,110,object,6,space:6,"clip_dinov2_focal, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0119_cut_002.jpg,119,close-up,5,medium:5,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0119_cut_005.jpg,119,close-up,5,medium:5,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0211_cut_008.jpg,211,close-up,5,object:5,"clip_dinov2_focal, dinov3_single, clip_dinov3, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0017_cut_003.jpg,17,medium,5,wide:5,"clip_dinov2_focal, dinov3_single, clip_dinov3, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0017_cut_006.jpg,17,medium,5,close-up:5,"clip_dinov2_focal, dinov3_single, clip_dinov3, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0019_cut_001.jpg,19,medium,5,wide:5,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0025_cut_009.jpg,25,medium,5,close-up:5,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0030_cut_001.jpg,30,medium,5,wide:5,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0211_cut_009.jpg,211,medium,5,close-up:5,"clip_dinov2_focal, siglip2_single, clip_dinov3, cradiov4, clip_dinov2_shot_siglip2_text"
0138_cut_001.jpg,138,object,5,space:5,"clip_dinov2_focal, siglip2_single, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text"
0148_cut_001.jpg,148,close-up,4,medium:4,"dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2"
0030_cut_002.jpg,30,medium,4,wide:4,"dinov3_single, clip_dinov3, dinov3_siglip2, cradiov4"
0030_cut_004.jpg,30,medium,4,wide:4,"clip_dinov2_focal, clip_dinov3, cradiov4, clip_dinov2_shot_siglip2_text"
0030_cut_022.jpg,30,medium,4,wide:4,"clip_dinov2_focal, siglip2_single, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0057_cut_001.jpg,57,medium,4,close-up:4,"clip_dinov2_focal, siglip2_single, dinov3_siglip2, clip_dinov2_shot_siglip2_text"
0110_cut_003.jpg,110,medium,4,object:4,"siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0114_cut_002.jpg,114,medium,4,close-up:4,"clip_dinov2_focal, siglip2_single, cradiov4, clip_dinov2_shot_siglip2_text"
0122_cut_003.jpg,122,medium,4,wide:4,"dinov3_single, siglip2_single, dinov3_siglip2, cradiov4"
0139_cut_001.jpg,139,medium,4,close-up:4,"siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4"
0139_cut_006.jpg,139,medium,4,"space:3, wide:1","clip_dinov2_focal, siglip2_single, clip_dinov3, clip_dinov2_shot_siglip2_text"
0114_cut_007.jpg,114,space,4,wide:4,"clip_dinov2_focal, dinov3_single, clip_dinov3, clip_dinov2_shot_siglip2_text"
0017_cut_014.jpg,17,wide,4,medium:4,"dinov3_single, siglip2_single, dinov3_siglip2, cradiov4"
0030_cut_003.jpg,30,close-up,3,medium:3,"dinov3_single, siglip2_single, dinov3_siglip2"
0114_cut_006.jpg,114,close-up,3,medium:3,"dinov3_single, clip_dinov3, dinov3_siglip2"
0017_cut_012.jpg,17,medium,3,wide:3,"clip_dinov2_focal, clip_dinov3, clip_dinov2_shot_siglip2_text"
0075_cut_004.jpg,75,medium,3,close-up:3,"siglip2_single, clip_dinov3, dinov3_siglip2"
0119_cut_007.jpg,119,medium,3,wide:3,"siglip2_single, dinov3_siglip2, cradiov4"
