bin,lower,upper,count,accuracy,avg_confidence,gap
1,0.0,0.1,0,,,0.0
2,0.1,0.2,0,,,0.0
3,0.2,0.30000000000000004,1,0.0,0.29482439160346985,0.29482439160346985
4,0.30000000000000004,0.4,4,0.5,0.32250722497701645,0.17749277502298355
5,0.4,0.5,16,0.5625,0.45948941819369793,0.10301058180630207
6,0.5,0.6000000000000001,37,0.5405405405405406,0.5567519584217587,0.01621141788121816
7,0.6000000000000001,0.7000000000000001,24,0.5416666666666666,0.6488665317495664,0.1071998650828998
8,0.7000000000000001,0.8,46,0.6304347826086957,0.7502797492172407,0.11984496660854504
9,0.8,0.9,58,0.7931034482758621,0.8524470195688051,0.05934357129294299
10,0.9,1.0,89,0.9101123595505618,0.9655207917931374,0.055408432242575634
