bin,lower,upper,count,accuracy,avg_confidence,gap
1,0.0,0.1,0,,,0.0
2,0.1,0.2,0,,,0.0
3,0.2,0.30000000000000004,0,,,0.0
4,0.30000000000000004,0.4,0,,,0.0
5,0.4,0.5,8,0.625,0.45318248495459557,0.17181751504540443
6,0.5,0.6000000000000001,26,0.5769230769230769,0.5590530748550708,0.01787000206800604
7,0.6000000000000001,0.7000000000000001,22,0.5909090909090909,0.6517188549041748,0.060809763995083865
8,0.7000000000000001,0.8,34,0.7352941176470589,0.7518584675648633,0.016564349917804422
9,0.8,0.9,52,0.7692307692307693,0.852238179399417,0.08300741016864777
10,0.9,1.0,133,0.9323308270676691,0.9700024374445578,0.03767161037688871
