bin,lower,upper,count,accuracy,avg_confidence,gap
1,0.0,0.1,0,,,0.0
2,0.1,0.2,0,,,0.0
3,0.2,0.30000000000000004,0,,,0.0
4,0.30000000000000004,0.4,0,,,0.0
5,0.4,0.5,0,,,0.0
6,0.5,0.6000000000000001,12,0.8333333333333334,0.5592958430449168,0.2740374902884166
7,0.6000000000000001,0.7000000000000001,11,0.7272727272727273,0.6467263698577881,0.08054635741493921
8,0.7000000000000001,0.8,19,0.47368421052631576,0.7633784413337708,0.289694230807455
9,0.8,0.9,23,0.7391304347826086,0.8547539788743724,0.11562354409176379
10,0.9,1.0,210,0.9619047619047619,0.9889328193096888,0.027028057404926864
