filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true,shot_pred,text_true,text_pred,shot_confidence,text_confidence,text_probability,joint_true,joint_pred,joint_confidence,shot_correct,text_correct,joint_correct
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_018.jpg,0056_cut_018.jpg,56,close-up_text,close-up,1,close-up_text,test,618,close-up,object,1,1,0.9982875,0.999941,0.999941,close-up_text,object_text,0.9982286,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_001.jpg,0056_cut_001.jpg,56,close-up_text,close-up,1,close-up_text,test,617,close-up,object,1,1,0.98024017,0.9861777,0.9861777,close-up_text,object_text,0.96669096,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0025_cut_011.jpg,0025_cut_011.jpg,25,close-up_text,close-up,1,close-up_text,test,293,close-up,close-up,1,0,0.9771235,0.9713902,0.02860976,close-up_text,close-up_notext,0.9491682,True,False,False
C:\Temp\shot-classification\labeled_dataset\space_text\0056_cut_028.jpg,0056_cut_028.jpg,56,space_text,space,1,space_text,test,648,space,object,1,1,0.9219889,0.99835324,0.99835324,space_text,object_text,0.9204706,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_001.jpg,0119_cut_001.jpg,119,close-up_text,close-up,1,close-up_text,test,1102,close-up,medium,1,1,0.97320414,0.9360844,0.9360844,close-up_text,medium_text,0.9110012,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_002.jpg,0119_cut_002.jpg,119,close-up_text,close-up,1,close-up_text,test,1103,close-up,medium,1,1,0.9171505,0.9920622,0.9920622,close-up_text,medium_text,0.9098703,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0194_cut_002.jpg,0194_cut_002.jpg,194,medium_text,medium,1,medium_text,test,1653,medium,close-up,1,1,0.9211752,0.9863821,0.9863821,medium_text,close-up_text,0.9086307,False,True,False
C:\Temp\shot-classification\labeled_dataset\object_text\0110_cut_005.jpg,0110_cut_005.jpg,110,object_text,object,1,object_text,test,1042,object,space,1,1,0.93961084,0.9663164,0.9663164,object_text,space_text,0.90796137,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_004.jpg,0030_cut_004.jpg,30,medium_text,medium,1,medium_text,test,359,medium,wide,1,1,0.91593707,0.97762066,0.97762066,medium_text,wide_text,0.895439,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0148_cut_001.jpg,0148_cut_001.jpg,148,close-up_text,close-up,1,close-up_text,test,1338,close-up,medium,1,1,0.88876665,0.99921775,0.99921775,close-up_text,medium_text,0.8880714,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_005.jpg,0119_cut_005.jpg,119,close-up_text,close-up,1,close-up_text,test,1106,close-up,medium,1,1,0.89364916,0.98468,0.98468,close-up_text,medium_text,0.87995845,False,True,False
C:\Temp\shot-classification\labeled_dataset\wide_text\0075_cut_003.jpg,0075_cut_003.jpg,75,wide_text,wide,1,wide_text,test,752,wide,wide,1,0,0.9621059,0.91449434,0.085505664,wide_text,wide_notext,0.8798404,True,False,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_003.jpg,0025_cut_003.jpg,25,medium_text,medium,1,medium_text,test,298,medium,medium,1,0,0.96240085,0.9064663,0.09353363,medium_text,medium_notext,0.87238395,True,False,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_011.jpg,0119_cut_011.jpg,119,close-up_text,close-up,1,close-up_text,test,1107,close-up,medium,1,1,0.8465871,0.99991274,0.99991274,close-up_text,medium_text,0.8465133,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0030_cut_015.jpg,0030_cut_015.jpg,30,close-up_text,close-up,1,close-up_text,test,353,close-up,close-up,1,0,0.9395652,0.90053475,0.09946526,close-up_text,close-up_notext,0.8461111,True,False,False
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_017.jpg,0056_cut_017.jpg,56,object_text,object,1,object_text,test,626,object,space,1,1,0.83762205,0.9990656,0.9990656,object_text,space_text,0.8368394,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_007.jpg,0211_cut_007.jpg,211,close-up_text,close-up,1,close-up_text,test,1885,close-up,wide,1,1,0.8337602,0.99999297,0.99999297,close-up_text,wide_text,0.83375436,False,True,False
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_018.jpg,0030_cut_018.jpg,30,wide_text,wide,1,wide_text,test,373,wide,medium,1,1,0.82468396,0.9978108,0.9978108,wide_text,medium_text,0.82287854,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0097_cut_008.jpg,0097_cut_008.jpg,97,medium_text,medium,1,medium_text,test,942,medium,wide,1,1,0.8137356,0.9998927,0.9998927,medium_text,wide_text,0.8136483,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_004.jpg,0189_cut_004.jpg,189,close-up_text,close-up,1,close-up_text,test,1618,close-up,medium,1,1,0.806092,0.99983644,0.99983644,close-up_text,medium_text,0.8059602,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_023.jpg,0030_cut_023.jpg,30,medium_text,medium,1,medium_text,test,364,medium,wide,1,1,0.8013585,0.99728906,0.99728906,medium_text,wide_text,0.7991861,False,True,False
C:\Temp\shot-classification\labeled_dataset\space_text\0114_cut_007.jpg,0114_cut_007.jpg,114,space_text,space,1,space_text,test,1088,space,wide,1,1,0.81557333,0.9742469,0.9742469,space_text,wide_text,0.7945698,False,True,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0210_cut_022.jpg,0210_cut_022.jpg,210,close-up_text,close-up,1,close-up_text,test,1879,close-up,medium,1,1,0.7925609,0.9990144,0.9990144,close-up_text,medium_text,0.7917797,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0164_cut_001.jpg,0164_cut_001.jpg,164,medium_text,medium,1,medium_text,test,1427,medium,medium,1,0,0.9642068,0.8193401,0.18065989,medium_text,medium_notext,0.7900133,True,False,False
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_010.jpg,0030_cut_010.jpg,30,wide_text,wide,1,wide_text,test,369,wide,wide,1,0,0.9755803,0.78621626,0.2137838,wide_text,wide_notext,0.76701707,True,False,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0164_cut_002.jpg,0164_cut_002.jpg,164,medium_text,medium,1,medium_text,test,1428,medium,medium,1,0,0.96141165,0.79649293,0.20350699,medium_text,medium_notext,0.76575756,True,False,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0097_cut_001.jpg,0097_cut_001.jpg,97,close-up_text,close-up,1,close-up_text,test,938,close-up,medium,1,0,0.85221815,0.8954126,0.10458735,close-up_text,medium_notext,0.7630869,False,False,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0110_cut_003.jpg,0110_cut_003.jpg,110,medium_text,medium,1,medium_text,test,1039,medium,object,1,1,0.76159745,0.99985456,0.99985456,medium_text,object_text,0.7614867,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_005.jpg,0025_cut_005.jpg,25,medium_notext,medium,0,medium_notext,test,294,medium,medium,0,1,0.96266985,0.78980905,0.78980905,medium_notext,medium_text,0.7603254,True,False,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0030_cut_013.jpg,0030_cut_013.jpg,30,close-up_text,close-up,1,close-up_text,test,352,close-up,object,1,1,0.7520362,0.999619,0.999619,close-up_text,object_text,0.7517497,False,True,False
