filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true,shot_pred,text_true,text_pred,shot_confidence,text_confidence,text_probability,joint_true,joint_pred,joint_confidence,shot_correct,text_correct,joint_correct
C:\Temp\shot-classification\labeled_dataset\object_notext\0068_cut_006.jpg,0068_cut_006.jpg,68,object_notext,object,0,object_notext,test,712,object,medium,0,0,0.42229044,0.6981555,0.3018445,object_notext,medium_notext,0.2948244,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_009.jpg,0025_cut_009.jpg,25,medium_text,medium,1,medium_text,test,301,medium,close-up,1,0,0.5306772,0.5667047,0.43329522,medium_text,close-up_notext,0.30073726,False,False,False
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_017.jpg,0030_cut_017.jpg,30,wide_text,wide,1,wide_text,test,372,wide,wide,1,1,0.57335883,0.537422,0.537422,wide_text,wide_text,0.30813566,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_009.jpg,0030_cut_009.jpg,30,medium_text,medium,1,medium_text,test,363,medium,medium,1,1,0.54153156,0.5889222,0.5889222,medium_text,medium_text,0.31891996,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_notext\0114_cut_002.jpg,0114_cut_002.jpg,114,medium_notext,medium,0,medium_notext,test,1083,medium,close-up,0,0,0.6128517,0.59106636,0.40893364,medium_notext,close-up_notext,0.36223602,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_notext\0106_cut_008.jpg,0106_cut_008.jpg,106,medium_notext,medium,0,medium_notext,test,992,medium,space,0,0,0.4565415,0.876359,0.12364098,medium_notext,space_notext,0.40009424,False,True,False
C:\Temp\shot-classification\labeled_dataset\object_text\0100_cut_007.jpg,0100_cut_007.jpg,100,object_text,object,1,object_text,test,956,object,object,1,1,0.4152766,0.99887985,0.99887985,object_text,object_text,0.4148114,True,True,True
C:\Temp\shot-classification\labeled_dataset\space_text\0106_cut_005.jpg,0106_cut_005.jpg,106,space_text,space,1,space_text,test,998,space,space,1,1,0.5377832,0.7955987,0.7955987,space_text,space_text,0.4278596,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_005.jpg,0139_cut_005.jpg,139,medium_notext,medium,0,medium_notext,test,1256,medium,medium,0,1,0.4461777,0.9735258,0.9735258,medium_notext,medium_text,0.4343655,True,False,False
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_031.jpg,0056_cut_031.jpg,56,object_text,object,1,object_text,test,633,object,object,1,1,0.43820727,0.9999207,0.9999207,object_text,object_text,0.43817252,True,True,True
