true_class,pred_class,count,ratio_within_true
close-up,medium,13,0.17333333333333334
close-up,object,8,0.10666666666666667
medium,wide,8,0.0898876404494382
medium,close-up,7,0.07865168539325842
medium,space,4,0.0449438202247191
wide,medium,3,0.09375
space,object,2,0.08695652173913043
space,wide,2,0.08695652173913043
object,medium,2,0.03571428571428571
object,space,2,0.03571428571428571
close-up,wide,1,0.013333333333333334
medium,object,1,0.011235955056179775
close-up,space,0,0.0
object,close-up,0,0.0
object,wide,0,0.0
space,close-up,0,0.0
space,medium,0,0.0
wide,close-up,0,0.0
wide,object,0,0.0
wide,space,0,0.0
