bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,0,,,
0.4,0.5,0,,,
0.5,0.6000000000000001,5,1.0,0.5440829992294312,0.45591700077056885
0.6000000000000001,0.7000000000000001,7,0.8571428571428571,0.6681666970252991,0.18897616011755802
0.7000000000000001,0.8,6,0.6666666666666666,0.7515357136726379,0.08486904700597131
0.8,0.9,21,0.9047619047619048,0.8676804304122925,0.03708147434961229
0.9,1.0,236,0.9915254237288136,0.9780497550964355,0.013475668632378035
