bin_start,bin_end,count,accuracy,confidence,gap
0.0,0.1,0,,,
0.1,0.2,0,,,
0.2,0.30000000000000004,0,,,
0.30000000000000004,0.4,6,0.6666666666666666,0.37541982531547546,0.29124684135119117
0.4,0.5,14,0.5714285714285714,0.4604799449443817,0.11094862648418968
0.5,0.6000000000000001,27,0.7037037037037037,0.5552581548690796,0.14844554883462413
0.6000000000000001,0.7000000000000001,36,0.6944444444444444,0.6450162529945374,0.049428191449907066
0.7000000000000001,0.8,38,0.8421052631578947,0.7499061226844788,0.09219914047341593
0.8,0.9,57,0.9122807017543859,0.8532349467277527,0.05904575502663323
0.9,1.0,97,0.9484536082474226,0.9545125365257263,0.006058928278303677
