filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_probability,shot_confidence,text_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide,joint_pred_label,text_threshold
C:\Temp\shot-classification\labeled_dataset\close-up_text\0025_cut_011.jpg,0025_cut_011.jpg,25,close-up_text,close-up,1,close-up_text,test,293,0,0,close-up,1,0,0.029031662,0.9840424,0.97096837,0.955474,True,False,False,0.9840424,0.015819537,0.0001379929,9.798305e-09,5.874707e-08,close-up_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_018.jpg,0056_cut_018.jpg,56,close-up_text,close-up,1,close-up_text,test,618,0,2,object,1,1,0.99994063,0.91358113,0.99994063,0.9135269,False,True,False,0.007482606,0.0074536707,0.91358113,0.06367468,0.0078079,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_001.jpg,0056_cut_001.jpg,56,close-up_text,close-up,1,close-up_text,test,617,0,2,object,1,1,0.9857501,0.92484176,0.9857501,0.9116628,False,True,False,0.014157744,0.0036412783,0.92484176,0.05390588,0.0034533353,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0194_cut_002.jpg,0194_cut_002.jpg,194,medium_text,medium,1,medium_text,test,1653,1,0,close-up,1,1,0.9861274,0.9242693,0.9861274,0.9114473,False,True,False,0.9242693,0.074837536,0.0008911972,5.480953e-07,1.4438438e-06,close-up_text,0.5
C:\Temp\shot-classification\labeled_dataset\object_text\0110_cut_005.jpg,0110_cut_005.jpg,110,object_text,object,1,object_text,test,1042,2,3,space,1,1,0.96663505,0.92878824,0.96663505,0.89779925,False,True,False,0.00010008586,0.0005722589,0.057562407,0.92878824,0.012976996,space_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_011.jpg,0119_cut_011.jpg,119,close-up_text,close-up,1,close-up_text,test,1107,0,1,medium,1,1,0.9999114,0.8673192,0.9999114,0.8672424,False,True,False,0.12744176,0.8673192,0.0033329704,3.23614e-06,0.001902882,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_003.jpg,0025_cut_003.jpg,25,medium_text,medium,1,medium_text,test,298,1,1,medium,1,0,0.09681065,0.9552386,0.90318936,0.8627613,True,False,False,0.04319779,0.9552386,3.5906727e-05,8.2486316e-08,0.0015276301,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_017.jpg,0056_cut_017.jpg,56,object_text,object,1,object_text,test,626,2,3,space,1,1,0.9990484,0.82603145,0.9990484,0.8252454,False,True,False,0.00013653774,0.0013937841,0.1450996,0.82603145,0.02733865,space_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0097_cut_005.jpg,0097_cut_005.jpg,97,close-up_text,close-up,1,close-up_text,test,940,0,2,object,1,1,0.9999304,0.8183296,0.9999304,0.8182726,False,True,False,0.14805105,0.032769665,0.8183296,0.0007366143,0.00011302956,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0075_cut_003.jpg,0075_cut_003.jpg,75,wide_text,wide,1,wide_text,test,752,4,4,wide,1,0,0.08953136,0.8872778,0.91046864,0.8078386,True,False,False,0.0015170886,0.107606485,0.00085714593,0.0027415259,0.8872778,wide_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0164_cut_001.jpg,0164_cut_001.jpg,164,medium_text,medium,1,medium_text,test,1427,1,1,medium,1,0,0.1917138,0.97678316,0.8082862,0.7895203,True,False,False,0.020982094,0.97678316,3.425034e-05,3.4100087e-06,0.0021971115,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0097_cut_003.jpg,0097_cut_003.jpg,97,close-up_text,close-up,1,close-up_text,test,939,0,2,object,1,1,0.9997862,0.78918326,0.9997862,0.7890145,False,True,False,0.008801166,0.008542496,0.78918326,0.18613034,0.0073427553,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0097_cut_008.jpg,0097_cut_008.jpg,97,medium_text,medium,1,medium_text,test,942,1,4,wide,1,1,0.99989176,0.7838776,0.99989176,0.78379273,False,True,False,0.0026527625,0.15074371,0.050495073,0.012230805,0.7838776,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_005.jpg,0025_cut_005.jpg,25,medium_notext,medium,0,medium_notext,test,294,1,1,medium,0,1,0.78619075,0.9587867,0.78619075,0.75378925,True,False,False,0.040023267,0.9587867,2.9393881e-05,9.114728e-08,0.0011604396,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_001.jpg,0025_cut_001.jpg,25,medium_text,medium,1,medium_text,test,297,1,1,medium,1,0,0.2358122,0.97881365,0.7641878,0.74799746,True,False,False,0.012632305,0.97881365,2.0277046e-05,1.6206462e-07,0.008533479,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0017_cut_012.jpg,0017_cut_012.jpg,17,medium_text,medium,1,medium_text,test,209,1,4,wide,1,1,0.99928814,0.7476555,0.99928814,0.7471233,False,True,False,0.00028598626,0.25160566,0.00015448053,0.00029835635,0.7476555,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0164_cut_002.jpg,0164_cut_002.jpg,164,medium_text,medium,1,medium_text,test,1428,1,1,medium,1,0,0.22567979,0.9553695,0.77432024,0.73976195,True,False,False,0.019362308,0.9553695,0.0016805753,0.000224829,0.023362808,medium_notext,0.5
