filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_probability,shot_confidence,text_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide,joint_pred_label,text_threshold
C:\Temp\shot-classification\labeled_dataset\object_notext\0068_cut_006.jpg,0068_cut_006.jpg,68,object_notext,object,0,object_notext,test,712,2,2,object,0,0,0.3193629,0.34222794,0.6806371,0.23293304,True,True,True,0.039122578,0.3143807,0.34222794,0.11267863,0.19159016,object_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_009.jpg,0030_cut_009.jpg,30,medium_text,medium,1,medium_text,test,363,1,4,wide,1,1,0.5865901,0.5420581,0.5865901,0.31796592,False,True,False,0.0034272468,0.33984527,0.015391185,0.09927817,0.5420581,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_001.jpg,0139_cut_001.jpg,139,medium_notext,medium,0,medium_notext,test,1252,1,1,medium,0,1,0.6547406,0.5116338,0.6547406,0.3349874,True,False,False,0.4597933,0.5116338,0.02844598,2.2192742e-05,0.00010470375,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_017.jpg,0030_cut_017.jpg,30,wide_text,wide,1,wide_text,test,372,4,4,wide,1,1,0.5276998,0.652205,0.5276998,0.34416845,True,True,True,0.0013377668,0.342504,0.0013798816,0.0025734026,0.652205,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_006.jpg,0139_cut_006.jpg,139,medium_notext,medium,0,medium_notext,test,1257,1,3,space,0,1,0.890599,0.39999747,0.890599,0.35623735,False,False,False,0.027873784,0.3577405,0.097598135,0.39999747,0.1167901,space_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0114_cut_002.jpg,0114_cut_002.jpg,114,medium_notext,medium,0,medium_notext,test,1083,1,0,close-up,0,0,0.4192307,0.6213527,0.5807693,0.36086255,False,True,False,0.6213527,0.37813458,0.00047631096,2.573925e-07,3.6192083e-05,close-up_notext,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_020.jpg,0030_cut_020.jpg,30,wide_text,wide,1,wide_text,test,375,4,1,medium,1,1,0.5964162,0.6097955,0.5964162,0.3636919,False,True,False,0.0074227387,0.6097955,0.020764139,0.019744579,0.34227306,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_009.jpg,0025_cut_009.jpg,25,medium_text,medium,1,medium_text,test,301,1,1,medium,1,0,0.44360414,0.6551369,0.5563959,0.36451545,True,False,False,0.34476662,0.6551369,6.765848e-05,2.7880667e-08,2.884024e-05,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0017_cut_006.jpg,0017_cut_006.jpg,17,medium_text,medium,1,medium_text,test,206,1,1,medium,1,1,0.99970406,0.36857834,0.99970406,0.36846927,True,True,True,0.366319,0.36857834,0.2563543,0.002966847,0.005781458,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0122_cut_003.jpg,0122_cut_003.jpg,122,medium_notext,medium,0,medium_notext,test,1126,1,1,medium,0,0,0.037258007,0.38312185,0.962742,0.3688475,True,True,True,0.15995146,0.38312185,0.093274504,0.2335906,0.13006163,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_008.jpg,0211_cut_008.jpg,211,close-up_text,close-up,1,close-up_text,test,1886,0,2,object,1,1,0.9992932,0.36969635,0.9992932,0.36943504,False,True,False,0.1295473,0.34872103,0.36969635,0.07845652,0.07357886,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0119_cut_013.jpg,0119_cut_013.jpg,119,medium_notext,medium,0,medium_notext,test,1110,1,1,medium,0,0,0.029118419,0.38889697,0.9708816,0.3775729,True,True,True,0.20971791,0.38889697,0.3486541,0.010635863,0.042095114,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0106_cut_008.jpg,0106_cut_008.jpg,106,medium_notext,medium,0,medium_notext,test,992,1,3,space,0,0,0.13393529,0.45645148,0.8660647,0.3953165,False,True,False,0.012343284,0.06484411,0.12607238,0.45645148,0.3402887,space_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_005.jpg,0114_cut_005.jpg,114,close-up_text,close-up,1,close-up_text,test,1077,0,2,object,1,1,0.9952807,0.40262416,0.9952807,0.40072405,False,True,False,0.34524888,0.24644753,0.40262416,0.004921556,0.0007579166,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0138_cut_003.jpg,0138_cut_003.jpg,138,medium_notext,medium,0,medium_notext,test,1245,1,1,medium,0,0,0.36021036,0.65660363,0.63978964,0.4200882,True,True,True,0.0073824823,0.65660363,0.0018028023,0.003384081,0.330827,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\object_text\0100_cut_010.jpg,0100_cut_010.jpg,100,object_text,object,1,object_text,test,957,2,2,object,1,1,0.998939,0.4216254,0.998939,0.42117804,True,True,True,0.016092665,0.10265792,0.4216254,0.132554,0.32707006,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_007.jpg,0211_cut_007.jpg,211,close-up_text,close-up,1,close-up_text,test,1885,0,4,wide,1,1,0.99999285,0.43893766,0.99999285,0.43893453,False,True,False,0.057861477,0.15338612,0.24103218,0.1087825,0.43893766,wide_text,0.5
