true_class,pred_class,count,ratio_within_true
close-up,medium,10,0.13333333333333333
close-up,object,8,0.10666666666666667
medium,wide,8,0.0898876404494382
object,space,4,0.07142857142857142
medium,space,4,0.0449438202247191
medium,close-up,3,0.033707865168539325
wide,medium,2,0.0625
space,wide,1,0.043478260869565216
object,medium,1,0.017857142857142856
close-up,wide,1,0.013333333333333334
medium,object,1,0.011235955056179775
close-up,space,0,0.0
object,close-up,0,0.0
object,wide,0,0.0
space,close-up,0,0.0
space,medium,0,0.0
space,object,0,0.0
wide,close-up,0,0.0
wide,object,0,0.0
wide,space,0,0.0
