video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_confidence
6,5,1.0,1.0,0.9426414
17,14,0.8571428571428571,0.8571428571428571,0.7761126
19,4,0.75,0.5,0.60381
20,5,1.0,1.0,0.9002544
25,12,1.0,0.4166666666666667,0.66480577
30,26,0.6923076923076923,0.6153846153846154,0.65959847
31,3,1.0,0.6666666666666666,0.64917094
56,34,0.8823529411764706,0.8823529411764706,0.84426427
57,8,1.0,1.0,0.71046007
68,6,1.0,1.0,0.6537352
69,7,1.0,1.0,0.8979558
75,10,1.0,0.6,0.6400098
97,6,0.5,0.3333333333333333,0.75099236
100,5,0.8,0.6,0.5322019
106,8,0.875,0.75,0.65826637
110,5,0.6,0.6,0.83159363
114,15,0.8,0.7333333333333333,0.6301814
119,14,0.7142857142857143,0.7142857142857143,0.730926
122,3,0.6666666666666666,0.3333333333333333,0.49098325
138,7,0.8571428571428571,0.8571428571428571,0.5736052
139,6,0.5,0.0,0.5010653
144,9,1.0,1.0,0.8510596
148,1,0.0,0.0,0.6426792
157,9,0.8888888888888888,0.8888888888888888,0.7197833
164,2,1.0,0.0,0.76464117
179,1,1.0,1.0,0.7510647
185,5,1.0,0.6,0.66786075
189,4,0.25,0.25,0.6250125
194,4,0.75,0.5,0.81462246
210,21,0.9523809523809523,0.9523809523809523,0.894537
211,9,0.7777777777777778,0.7777777777777778,0.64566576
217,2,1.0,1.0,0.64160144
219,5,1.0,1.0,0.7094015
