video_id,opening_shot_type,ending_shot_type,dominant_shot_type,fast_cut_ratio,text_cut_ratio,repeated_shot_ratio,transition_count,text_density_level,cut_speed_category
6,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
17,wide,wide,wide,,1.0,0.5384615384615384,13,high,not_available_from_labeled_frames
19,medium,wide,medium,,0.75,0.3333333333333333,3,high,not_available_from_labeled_frames
20,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
25,medium,medium,medium,,0.5,0.6363636363636364,11,high,not_available_from_labeled_frames
30,medium,medium,wide,,0.8076923076923077,0.32,25,high,not_available_from_labeled_frames
31,wide,wide,wide,,0.6666666666666666,1.0,2,high,not_available_from_labeled_frames
56,object,object,object,,1.0,0.42424242424242425,33,high,not_available_from_labeled_frames
57,medium,object,object,,1.0,0.5714285714285714,7,high,not_available_from_labeled_frames
68,object,object,object,,0.8333333333333334,1.0,5,high,not_available_from_labeled_frames
69,object,object,object,,1.0,0.6666666666666666,6,high,not_available_from_labeled_frames
75,wide,medium,medium,,0.6,0.4444444444444444,9,high,not_available_from_labeled_frames
97,close-up,wide,close-up,,0.8333333333333334,0.2,5,high,not_available_from_labeled_frames
100,object,object,object,,0.8,0.5,4,high,not_available_from_labeled_frames
106,space,space,space,,0.5,1.0,7,high,not_available_from_labeled_frames
110,object,space,object,,1.0,0.25,4,high,not_available_from_labeled_frames
114,close-up,close-up,close-up,,0.7333333333333333,0.2857142857142857,14,high,not_available_from_labeled_frames
119,medium,medium,medium,,0.7857142857142857,0.5384615384615384,13,high,not_available_from_labeled_frames
122,object,medium,object,,0.6666666666666666,0.5,2,high,not_available_from_labeled_frames
138,space,object,object,,0.0,0.0,6,low,not_available_from_labeled_frames
139,medium,space,medium,,0.6666666666666666,0.4,5,high,not_available_from_labeled_frames
144,close-up,close-up,close-up,,1.0,0.625,8,high,not_available_from_labeled_frames
148,medium,medium,medium,,1.0,0.0,0,high,not_available_from_labeled_frames
157,medium,medium,medium,,1.0,0.75,8,high,not_available_from_labeled_frames
164,medium,medium,medium,,0.0,1.0,1,low,not_available_from_labeled_frames
179,close-up,close-up,close-up,,1.0,0.0,0,high,not_available_from_labeled_frames
185,close-up,close-up,close-up,,0.4,1.0,4,low,not_available_from_labeled_frames
189,medium,close-up,medium,,1.0,0.6666666666666666,3,high,not_available_from_labeled_frames
194,medium,close-up,close-up,,0.75,0.6666666666666666,3,high,not_available_from_labeled_frames
210,close-up,medium,close-up,,1.0,0.65,20,high,not_available_from_labeled_frames
211,close-up,medium,medium,,1.0,0.125,8,high,not_available_from_labeled_frames
217,close-up,close-up,close-up,,1.0,1.0,1,high,not_available_from_labeled_frames
219,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
