experiment,shot_acc,shot_macro_f1,text_acc,text_macro_f1,joint_acc,text_threshold,alpha_clip,name,hidden_dims,dropout,lr,weight_decay,closeup_factor,layernorm,loss_type,label_smoothing
focal_loss,0.8618181818181818,0.8603116709123821,0.8945454545454545,0.7942519542839452,0.76,0.43,0.46,focal_loss,"(512, 256)",0.25,0.001,0.001,1.0,False,focal,0.0
baseline_global_alpha_0_50_text_0_50,0.8436363636363636,0.8425877934428609,0.8945454545454545,0.7982289690069576,0.7418181818181818,0.5,,,,,,,,,,
fine_global_alpha_0.47,0.84,0.8400096387864767,0.8945454545454545,0.7982289690069576,0.7381818181818182,0.5,,,,,,,,,,
closeup_factor_1_5,0.8363636363636363,0.8370720178373328,0.8909090909090909,0.7932538091419407,0.7381818181818182,0.49,0.44,closeup_factor_1_5,"(512, 256)",0.25,0.001,0.001,1.5,False,ce,0.0
lr_5e_4,0.8472727272727273,0.8478937971597611,0.8836363636363637,0.7835497835497836,0.7345454545454545,0.47,0.47,lr_5e_4,"(512, 256)",0.25,0.0005,0.001,1.0,False,ce,0.0
dropout_0_10,0.8363636363636363,0.839123073276812,0.8909090909090909,0.7932538091419407,0.7345454545454545,0.41,0.51,dropout_0_10,"(512, 256)",0.1,0.001,0.001,1.0,False,ce,0.0
closeup_factor_1_8,0.8290909090909091,0.8321604648730926,0.8945454545454545,0.7982289690069576,0.7272727272727273,0.48,0.42,closeup_factor_1_8,"(512, 256)",0.25,0.001,0.001,1.8,False,ce,0.0
layernorm,0.7963636363636364,0.8091287967282194,0.9090909090909091,0.7298518605839128,0.7236363636363636,0.16,0.4,layernorm,"(512, 256)",0.25,0.001,0.001,1.0,True,ce,0.0
dropout_0_30,0.8327272727272728,0.8322007171263882,0.88,0.7788149845231422,0.7163636363636363,0.5,0.46,dropout_0_30,"(512, 256)",0.3,0.001,0.001,1.0,False,ce,0.0
closeup_factor_1_2,0.8145454545454546,0.8167883139033986,0.8945454545454545,0.7982289690069576,0.7163636363636363,0.47,0.46,closeup_factor_1_2,"(512, 256)",0.25,0.001,0.001,1.2,False,ce,0.0
classwise_alpha_text_0_50,0.8181818181818182,0.8180901032321859,0.8945454545454545,0.7982289690069576,0.7127272727272728,0.5,,,,,,,,,,
classwise_alpha_joint_text_threshold,0.8181818181818182,0.8180901032321859,0.8945454545454545,0.7982289690069576,0.7127272727272728,0.46,,,,,,,,,,
focal_label_smoothing_0_05,0.8109090909090909,0.8126019237800126,0.8945454545454545,0.7942519542839452,0.7127272727272728,0.46,0.44,focal_label_smoothing_0_05,"(512, 256)",0.25,0.001,0.001,1.0,False,focal,0.05
hidden_768_384,0.8036363636363636,0.8088225130597632,0.88,0.7331588697109588,0.7054545454545454,0.31,0.49,hidden_768_384,"(768, 384)",0.3,0.001,0.001,1.0,False,ce,0.0
lr_3e_4,0.8254545454545454,0.8315231361490418,0.8618181818181818,0.7713147759103641,0.6945454545454546,0.62,0.48,lr_3e_4,"(512, 256)",0.25,0.0003,0.001,1.0,False,ce,0.0
label_smoothing_0_05,0.8254545454545454,0.8286379413989025,0.8545454545454545,0.7592787114845938,0.6945454545454546,0.48,0.42,label_smoothing_0_05,"(512, 256)",0.25,0.001,0.001,1.0,False,ce,0.05
