true_class,pred_class,count,ratio_within_true
close-up,object,8,0.10666666666666667
medium,close-up,8,0.0898876404494382
medium,wide,8,0.0898876404494382
object,space,3,0.05357142857142857
close-up,medium,3,0.04
medium,space,3,0.033707865168539325
wide,medium,2,0.0625
space,wide,1,0.043478260869565216
object,close-up,1,0.017857142857142856
object,wide,1,0.017857142857142856
close-up,space,0,0.0
close-up,wide,0,0.0
medium,object,0,0.0
object,medium,0,0.0
space,close-up,0,0.0
space,medium,0,0.0
space,object,0,0.0
wide,close-up,0,0.0
wide,object,0,0.0
wide,space,0,0.0
