experiment,shot_acc,shot_macro_f1,text_acc,text_f1,joint_acc
current_retrain_baseline_256,0.7636363636363637,0.7691711952295556,0.8763636363636363,0.9264069264069265,0.6618181818181819
multitask_baseline_256,0.7818181818181819,0.7897915858690677,0.8945454545454545,0.9376344086021504,0.6945454545454546
multitask_stronger_512_256,0.8072727272727273,0.8080895792660499,0.8945454545454545,0.9376344086021504,0.7272727272727273
multitask_closeup_weight_1_8,0.7745454545454545,0.7827545490805545,0.8981818181818182,0.9399141630901288,0.6945454545454546
multitask_stronger_closeup_1_5,0.7890909090909091,0.7925067592035917,0.8872727272727273,0.9330453563714904,0.7018181818181818
shot_only_512_256,0.8,0.8017440361057382,,,
shot_only_closeup_weight_1_8,0.7963636363636364,0.8039777166061383,,,
text_only_256,,,0.8872727272727273,0.9333333333333332,
separate_shot_only_closeup_weight_1_8_plus_text_only_256,0.7963636363636364,0.8039777166061383,0.8872727272727273,0.9333333333333332,0.7127272727272728
dinov2_shot_512_256,0.8,0.7960301768816542,,,
dinov2_shot_512_256_closeup_1_5,0.7818181818181819,0.7802786312156558,,,
dinov2_shot_768_384,0.7890909090909091,0.7846872468391611,,,
dinov2_shot_linear,0.7090909090909091,0.7237005984669536,,,
clip_stronger_retrained,0.8072727272727273,0.8080895792660499,0.8945454545454545,0.9376344086021504,0.7272727272727273
dinov2_shot_retrained,0.8,0.7960301768816542,,,
ensemble_alpha_clip_0.45,0.8363636363636363,0.8386207165706457,0.8945454545454545,0.9376344086021504,0.730909090909091
