video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_confidence
148,1,0.0,0.0,0.5791854
139,6,0.6666666666666666,0.16666666666666666,0.46149185
185,5,1.0,0.2,0.7726165
19,4,0.5,0.25,0.601212
138,7,0.7142857142857143,0.2857142857142857,0.7384928
25,12,1.0,0.3333333333333333,0.5366345
97,6,0.3333333333333333,0.3333333333333333,0.7346086
122,3,0.6666666666666666,0.3333333333333333,0.63725203
75,10,0.9,0.4,0.6118601
17,14,0.42857142857142855,0.42857142857142855,0.75237787
