filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_threshold,text_probability,shot_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_001.jpg,0056_cut_001.jpg,56,close-up_text,close-up,1,close-up_text,test,617,0,2,object,1,1,0.55,0.9973507,0.9283425,0.92588305,False,True,False,0.06614443,0.0052096527,0.9283425,0.0002895847,1.3703449e-05
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_002.jpg,0185_cut_002.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1595,0,0,close-up,0,1,0.55,0.92294234,0.99394673,0.91735554,True,False,False,0.99394673,0.006034398,1.9017189e-05,1.4801498e-10,4.7948035e-08
C:\Temp\shot-classification\labeled_dataset\object_notext\0138_cut_007.jpg,0138_cut_007.jpg,138,object_notext,object,0,object_notext,test,1250,2,2,object,0,1,0.55,0.9877078,0.9232307,0.91188216,True,False,False,0.004615909,0.0019420704,0.9232307,0.069290526,0.00092076906
C:\Temp\shot-classification\labeled_dataset\medium_text\0110_cut_003.jpg,0110_cut_003.jpg,110,medium_text,medium,1,medium_text,test,1039,1,2,object,1,1,0.55,0.99962604,0.9076303,0.90729094,False,True,False,0.047569,0.038630094,0.9076303,0.004807813,0.0013628867
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_018.jpg,0056_cut_018.jpg,56,close-up_text,close-up,1,close-up_text,test,618,0,2,object,1,1,0.55,0.9860946,0.91074497,0.8980807,False,True,False,0.0748604,0.013453232,0.91074497,0.00083737803,0.000103957376
C:\Temp\shot-classification\labeled_dataset\object_notext\0068_cut_006.jpg,0068_cut_006.jpg,68,object_notext,object,0,object_notext,test,712,2,2,object,0,1,0.55,0.9223426,0.9660957,0.8910712,True,False,False,0.027073901,0.0017010695,0.9660957,0.0050808317,4.8450038e-05
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_011.jpg,0017_cut_011.jpg,17,wide_text,wide,1,wide_text,test,214,4,1,medium,1,1,0.55,0.9989073,0.8915435,0.8905693,False,True,False,0.008976473,0.8915435,0.00031641647,1.43399575e-05,0.099149324
C:\Temp\shot-classification\labeled_dataset\medium_text\0114_cut_012.jpg,0114_cut_012.jpg,114,medium_text,medium,1,medium_text,test,1085,1,0,close-up,1,1,0.55,0.9968256,0.87266266,0.8698925,False,True,False,0.87266266,0.117821455,0.009467772,1.4204779e-06,4.6709905e-05
C:\Temp\shot-classification\labeled_dataset\medium_text\0194_cut_002.jpg,0194_cut_002.jpg,194,medium_text,medium,1,medium_text,test,1653,1,0,close-up,1,1,0.55,0.997951,0.8652238,0.86345094,False,True,False,0.8652238,0.13362771,0.0011237103,1.3125862e-07,2.4646224e-05
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_003.jpg,0185_cut_003.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1596,0,0,close-up,0,1,0.55,0.8734493,0.98487234,0.8602361,True,False,False,0.98487234,0.015109701,1.7724142e-05,2.723344e-10,2.3997964e-07
C:\Temp\shot-classification\labeled_dataset\object_notext\0138_cut_005.jpg,0138_cut_005.jpg,138,object_notext,object,0,object_notext,test,1249,2,2,object,0,1,0.55,0.90435344,0.9511162,0.8601452,True,False,False,0.007874926,0.0035484426,0.9511162,0.036359657,0.0011008572
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_014.jpg,0017_cut_014.jpg,17,wide_text,wide,1,wide_text,test,216,4,1,medium,1,1,0.55,0.99877125,0.8496904,0.84864634,False,True,False,0.009607579,0.8496904,0.00045617542,3.3179414e-05,0.14021261
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_011.jpg,0119_cut_011.jpg,119,close-up_text,close-up,1,close-up_text,test,1107,0,1,medium,1,1,0.55,0.9999378,0.8434452,0.84339267,False,True,False,0.14789616,0.8434452,0.005629927,7.5936264e-06,0.0030211282
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_004.jpg,0185_cut_004.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1597,0,0,close-up,0,1,0.55,0.85035944,0.9904593,0.8422464,True,False,False,0.9904593,0.009524645,1.5990705e-05,2.1539348e-10,1.2519651e-07
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_008.jpg,0017_cut_008.jpg,17,wide_text,wide,1,wide_text,test,212,4,1,medium,1,1,0.55,0.9997373,0.8395917,0.83937114,False,True,False,0.0156421,0.8395917,0.0018989587,0.00012768066,0.14273958
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_005.jpg,0185_cut_005.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1598,0,0,close-up,0,1,0.55,0.8389747,0.99127626,0.83165574,True,False,False,0.99127626,0.008699047,2.4601903e-05,3.725183e-10,1.3303942e-07
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0114_cut_001.jpg,0114_cut_001.jpg,114,close-up_notext,close-up,0,close-up_notext,test,1074,0,0,close-up,0,1,0.55,0.8451526,0.9752994,0.82427686,True,False,False,0.9752994,0.024360364,0.0003380098,2.105712e-08,2.169652e-06
C:\Temp\shot-classification\labeled_dataset\medium_text\0119_cut_015.jpg,0119_cut_015.jpg,119,medium_text,medium,1,medium_text,test,1112,1,4,wide,1,1,0.55,0.99581677,0.8228377,0.8193956,False,True,False,0.00343702,0.1459414,0.009677217,0.018106624,0.8228377
