filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_threshold,text_probability,shot_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide
C:\Temp\shot-classification\labeled_dataset\medium_text\0194_cut_001.jpg,0194_cut_001.jpg,194,medium_text,medium,1,medium_text,test,1652,1,1,medium,1,0,0.55,0.51250976,0.5014021,0.25697348,True,False,False,0.49728596,0.5014021,0.0004236424,5.020106e-07,0.0008877974
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_003.jpg,0139_cut_003.jpg,139,medium_notext,medium,0,medium_notext,test,1254,1,4,wide,0,0,0.55,0.35280308,0.50904614,0.32945308,False,True,False,0.003563006,0.031854283,0.06880241,0.38673422,0.50904614
C:\Temp\shot-classification\labeled_dataset\close-up_text\0019_cut_002.jpg,0019_cut_002.jpg,19,close-up_text,close-up,1,close-up_text,test,220,0,1,medium,1,0,0.55,0.5446824,0.6075225,0.3309068,False,False,False,0.38694882,0.6075225,0.0016449523,7.763556e-06,0.003875963
C:\Temp\shot-classification\labeled_dataset\wide_text\0075_cut_003.jpg,0075_cut_003.jpg,75,wide_text,wide,1,wide_text,test,752,4,4,wide,1,0,0.55,0.4955061,0.6633706,0.33466643,True,False,False,0.002160938,0.33424768,0.00014565933,7.5044234e-05,0.6633706
C:\Temp\shot-classification\labeled_dataset\wide_text\0025_cut_002.jpg,0025_cut_002.jpg,25,wide_text,wide,1,wide_text,test,304,4,4,wide,1,0,0.55,0.5074689,0.7955596,0.40372172,True,False,False,0.0009962117,0.20328052,6.260458e-05,0.000101034275,0.7955596
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_006.jpg,0114_cut_006.jpg,114,close-up_text,close-up,1,close-up_text,test,1078,0,0,close-up,1,1,0.55,0.6602221,0.6158532,0.4065999,True,True,True,0.6158532,0.38233697,0.0009833317,1.795748e-06,0.00082475157
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_006.jpg,0025_cut_006.jpg,25,medium_notext,medium,0,medium_notext,test,295,1,1,medium,0,0,0.55,0.5288926,0.78046125,0.41278017,True,True,True,0.004133217,0.78046125,2.5605752e-05,3.290502e-06,0.21537669
C:\Temp\shot-classification\labeled_dataset\wide_text\0031_cut_003.jpg,0031_cut_003.jpg,31,wide_text,wide,1,wide_text,test,379,4,4,wide,1,1,0.55,0.56436116,0.7502346,0.42340326,True,True,True,0.0056453645,0.23993012,0.0019262978,0.0022636538,0.7502346
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_009.jpg,0025_cut_009.jpg,25,medium_text,medium,1,medium_text,test,301,1,1,medium,1,0,0.55,0.38728032,0.6932179,0.4247482,True,False,False,0.30543518,0.6932179,6.0163453e-05,1.0091458e-07,0.0012867107
C:\Temp\shot-classification\labeled_dataset\object_notext\0138_cut_002.jpg,0138_cut_002.jpg,138,object_notext,object,0,object_notext,test,1248,2,2,object,0,1,0.55,0.73762226,0.57920307,0.42723307,True,False,False,0.0020436419,0.0029167242,0.57920307,0.4033531,0.012483469
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_007.jpg,0211_cut_007.jpg,211,close-up_text,close-up,1,close-up_text,test,1885,0,1,medium,1,1,0.55,0.9998518,0.42803308,0.42796966,False,True,False,0.34555748,0.42803308,0.22119038,0.00053826685,0.004680863
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_006.jpg,0139_cut_006.jpg,139,medium_notext,medium,0,medium_notext,test,1257,1,1,medium,0,0,0.55,0.5310787,0.8265917,0.43898523,True,True,True,0.034023292,0.8265917,0.0018294472,0.00014642027,0.13740915
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_005.jpg,0075_cut_005.jpg,75,medium_text,medium,1,medium_text,test,747,1,1,medium,1,0,0.55,0.49699008,0.8773118,0.44129655,True,False,False,0.10981385,0.8773118,0.00036826747,2.8889629e-06,0.012503212
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_002.jpg,0139_cut_002.jpg,139,medium_notext,medium,0,medium_notext,test,1253,1,1,medium,0,1,0.55,0.70370024,0.63417715,0.4462706,True,False,False,0.36401603,0.63417715,0.0004689654,6.289196e-07,0.0013372818
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_001.jpg,0139_cut_001.jpg,139,medium_notext,medium,0,medium_notext,test,1252,1,1,medium,0,1,0.55,0.8568355,0.5265645,0.45117912,True,False,False,0.47258925,0.5265645,0.00040227608,1.88317e-07,0.0004437825
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_011.jpg,0114_cut_011.jpg,114,close-up_text,close-up,1,close-up_text,test,1080,0,0,close-up,1,0,0.55,0.4242604,0.78806704,0.45372143,True,False,False,0.78806704,0.21046829,0.0009974858,1.9906222e-06,0.00046523742
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_008.jpg,0075_cut_008.jpg,75,medium_text,medium,1,medium_text,test,748,1,1,medium,1,0,0.55,0.5111674,0.9144362,0.46743,True,False,False,0.032548603,0.9144362,0.00018978698,5.9785248e-06,0.05281936
C:\Temp\shot-classification\labeled_dataset\medium_text\0019_cut_001.jpg,0019_cut_001.jpg,19,medium_text,medium,1,medium_text,test,221,1,4,wide,1,0,0.55,0.33375707,0.7023749,0.4679523,False,False,False,0.007092872,0.28448352,0.0034296173,0.002619031,0.7023749
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_005.jpg,0139_cut_005.jpg,139,medium_notext,medium,0,medium_notext,test,1256,1,1,medium,0,0,0.55,0.44683856,0.8599319,0.47568116,True,True,True,0.057942823,0.8599319,0.004127405,0.00011814346,0.077879846
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_004.jpg,0157_cut_004.jpg,157,medium_text,medium,1,medium_text,test,1372,1,1,medium,1,1,0.55,0.88433546,0.53841203,0.47613686,True,True,True,0.46108457,0.53841203,0.00027874077,6.506989e-08,0.00022451597
C:\Temp\shot-classification\labeled_dataset\medium_notext\0119_cut_012.jpg,0119_cut_012.jpg,119,medium_notext,medium,0,medium_notext,test,1109,1,1,medium,0,1,0.55,0.70169616,0.68185174,0.47845274,True,False,False,0.02801828,0.68185174,0.016443262,0.00114764,0.27253905
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_008.jpg,0025_cut_008.jpg,25,medium_text,medium,1,medium_text,test,300,1,1,medium,1,0,0.55,0.3642393,0.7525773,0.47845906,True,False,False,0.0038363687,0.7525773,1.4027816e-05,2.380796e-06,0.24356993
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_002.jpg,0119_cut_002.jpg,119,close-up_text,close-up,1,close-up_text,test,1103,0,1,medium,1,0,0.55,0.32638586,0.71939087,0.48459187,False,False,False,0.2786062,0.71939087,0.00042064424,4.5405645e-07,0.0015818849
C:\Temp\shot-classification\labeled_dataset\close-up_text\0122_cut_001.jpg,0122_cut_001.jpg,122,close-up_text,close-up,1,close-up_text,test,1125,0,2,object,1,1,0.55,0.9280182,0.5230805,0.48542824,False,True,False,0.38746446,0.08484875,0.5230805,0.0029404876,0.0016657631
C:\Temp\shot-classification\labeled_dataset\medium_text\0057_cut_004.jpg,0057_cut_004.jpg,57,medium_text,medium,1,medium_text,test,654,1,1,medium,1,1,0.55,0.99990773,0.48817655,0.48813152,True,True,True,0.22381261,0.48817655,0.27876177,0.0011277698,0.008121209
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_007.jpg,0025_cut_007.jpg,25,medium_notext,medium,0,medium_notext,test,296,1,1,medium,0,0,0.55,0.48225605,0.9499968,0.4918551,True,True,True,0.02062666,0.9499968,3.1154228e-05,6.3444946e-07,0.029344743
C:\Temp\shot-classification\labeled_dataset\medium_text\0119_cut_007.jpg,0119_cut_007.jpg,119,medium_text,medium,1,medium_text,test,1111,1,4,wide,1,1,0.55,0.998536,0.4928488,0.49212727,False,True,False,0.01314145,0.48138618,0.009416829,0.0032066274,0.4928488
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_005.jpg,0114_cut_005.jpg,114,close-up_text,close-up,1,close-up_text,test,1077,0,1,medium,1,1,0.55,0.98630255,0.4996121,0.49276868,False,True,False,0.49785548,0.4996121,0.002048298,1.0382693e-06,0.00048296794
C:\Temp\shot-classification\labeled_dataset\medium_notext\0030_cut_011.jpg,0030_cut_011.jpg,30,medium_notext,medium,0,medium_notext,test,355,1,1,medium,0,0,0.55,0.45067242,0.9013205,0.49512026,True,True,True,0.07007295,0.9013205,0.0001112876,4.038717e-06,0.028491136
C:\Temp\shot-classification\labeled_dataset\medium_text\0097_cut_008.jpg,0097_cut_008.jpg,97,medium_text,medium,1,medium_text,test,942,1,4,wide,1,1,0.55,0.99360955,0.49920395,0.49601382,False,True,False,0.024453565,0.29400456,0.12874888,0.053589042,0.49920395
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_008.jpg,0211_cut_008.jpg,211,close-up_text,close-up,1,close-up_text,test,1886,0,1,medium,1,1,0.55,0.98782665,0.50681776,0.5006481,False,True,False,0.3426842,0.50681776,0.13567986,0.00097299484,0.013845106
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_012.jpg,0025_cut_012.jpg,25,medium_text,medium,1,medium_text,test,303,1,1,medium,1,0,0.55,0.45929188,0.93392646,0.50498164,True,False,False,0.058812827,0.93392646,6.377923e-05,2.5761668e-07,0.007196618
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_009.jpg,0030_cut_009.jpg,30,medium_text,medium,1,medium_text,test,363,1,4,wide,1,0,0.55,0.072190665,0.5491367,0.5094942,False,False,False,0.0069377897,0.44357046,0.0002216305,0.000133396,0.5491367
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_004.jpg,0139_cut_004.jpg,139,medium_notext,medium,0,medium_notext,test,1255,1,3,space,0,0,0.55,0.20514849,0.64139724,0.5098156,False,True,False,0.0034551339,0.014775755,0.08074497,0.64139724,0.25962692
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_014.jpg,0030_cut_014.jpg,30,wide_text,wide,1,wide_text,test,370,4,4,wide,1,1,0.55,0.99375844,0.5158776,0.5126577,True,True,True,0.002585842,0.48120737,0.00022792081,0.00010135969,0.5158776
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_005.jpg,0157_cut_005.jpg,157,medium_text,medium,1,medium_text,test,1373,1,0,close-up,1,1,0.55,0.9496839,0.5402794,0.51309466,False,True,False,0.5402794,0.44732264,0.010438937,2.2246939e-05,0.001936852
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_004.jpg,0025_cut_004.jpg,25,medium_text,medium,1,medium_text,test,299,1,1,medium,1,1,0.55,0.7103361,0.72838515,0.51739824,True,True,True,0.0030796593,0.72838515,1.745134e-05,3.249762e-06,0.2685145
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_008.jpg,0157_cut_008.jpg,157,medium_text,medium,1,medium_text,test,1376,1,0,close-up,1,1,0.55,0.9701427,0.5336371,0.5177041,False,True,False,0.5336371,0.46559682,0.0005129033,1.9790399e-07,0.00025291968
C:\Temp\shot-classification\labeled_dataset\close-up_text\0030_cut_015.jpg,0030_cut_015.jpg,30,close-up_text,close-up,1,close-up_text,test,353,0,0,close-up,1,1,0.55,0.9652133,0.54197407,0.5231206,True,True,True,0.54197407,0.43092808,0.023112541,9.4591014e-05,0.0038907102
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_006.jpg,0189_cut_006.jpg,189,close-up_text,close-up,1,close-up_text,test,1619,0,1,medium,1,1,0.55,0.9955083,0.5312854,0.528899,False,True,False,0.43231875,0.5312854,0.035274886,1.7813896e-05,0.0011031826
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_004.jpg,0189_cut_004.jpg,189,close-up_text,close-up,1,close-up_text,test,1618,0,1,medium,1,1,0.55,0.99543285,0.5324721,0.5300402,False,True,False,0.43332154,0.5324721,0.03279308,2.5145433e-05,0.0013881597
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_010.jpg,0025_cut_010.jpg,25,medium_text,medium,1,medium_text,test,302,1,1,medium,1,1,0.55,0.5898615,0.90629584,0.53458905,True,True,True,0.010499609,0.90629584,5.1124953e-05,2.2139595e-06,0.08315129
C:\Temp\shot-classification\labeled_dataset\close-up_text\0148_cut_001.jpg,0148_cut_001.jpg,148,close-up_text,close-up,1,close-up_text,test,1338,0,0,close-up,1,1,0.55,0.99548185,0.5372861,0.5348586,True,True,True,0.5372861,0.4615334,0.000821865,5.3405284e-07,0.0003581526
C:\Temp\shot-classification\labeled_dataset\object_text\0100_cut_007.jpg,0100_cut_007.jpg,100,object_text,object,1,object_text,test,956,2,1,medium,1,1,0.55,0.9989562,0.5426644,0.542098,False,True,False,0.0756127,0.5426644,0.13978346,0.014938322,0.22700123
