true_class,pred_class,count,ratio_within_true
close-up,medium,12,0.16
wide,medium,10,0.3125
medium,close-up,9,0.10112359550561797
medium,wide,7,0.07865168539325842
close-up,object,6,0.08
space,wide,3,0.13043478260869565
object,space,3,0.05357142857142857
space,object,2,0.08695652173913043
object,medium,1,0.017857142857142856
medium,object,1,0.011235955056179775
medium,space,1,0.011235955056179775
close-up,space,0,0.0
close-up,wide,0,0.0
object,close-up,0,0.0
object,wide,0,0.0
space,close-up,0,0.0
space,medium,0,0.0
wide,close-up,0,0.0
wide,object,0,0.0
wide,space,0,0.0
