video_id,sample_count,per_video_shot_accuracy,per_video_joint_accuracy,per_video_confidence
6,5,1.0,1.0,0.9244813
17,14,0.42857142857142855,0.42857142857142855,0.769999
19,4,0.5,0.25,0.5977948
20,5,1.0,1.0,0.8643724
25,12,1.0,0.3333333333333333,0.50788695
30,26,0.8076923076923077,0.8076923076923077,0.68124324
31,3,1.0,0.6666666666666666,0.59977394
56,34,0.8529411764705882,0.8529411764705882,0.8745202
57,8,0.875,0.875,0.79688555
68,6,1.0,0.8333333333333334,0.8879848
69,7,1.0,1.0,0.926464
75,10,0.9,0.2,0.591123
97,6,0.3333333333333333,0.3333333333333333,0.7160148
100,5,0.8,0.6,0.74251944
106,8,0.75,0.5,0.70201993
110,5,0.6,0.6,0.84879553
114,15,0.8,0.5333333333333333,0.7082464
119,14,0.5714285714285714,0.5,0.7175478
122,3,0.6666666666666666,0.3333333333333333,0.62247354
138,7,0.7142857142857143,0.2857142857142857,0.7019597
139,6,0.6666666666666666,0.3333333333333333,0.44189748
144,9,1.0,1.0,0.727474
148,1,1.0,1.0,0.5348586
157,9,0.6666666666666666,0.6666666666666666,0.585219
164,2,1.0,0.5,0.7274257
179,1,1.0,1.0,0.8157491
185,5,1.0,0.2,0.80570793
189,4,0.5,0.5,0.6083465
194,4,0.75,0.5,0.75483
210,21,0.9523809523809523,0.9523809523809523,0.8832828
211,9,0.6666666666666666,0.6666666666666666,0.775501
217,2,1.0,1.0,0.9430162
219,5,1.0,1.0,0.8663559
