video_id,opening_shot_type,ending_shot_type,dominant_shot_type,fast_cut_ratio,text_cut_ratio,repeated_shot_ratio,transition_count,text_density_level,cut_speed_category
6,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
17,medium,medium,medium,,1.0,0.8461538461538461,13,high,not_available_from_labeled_frames
19,wide,wide,wide,,0.25,0.0,3,low,not_available_from_labeled_frames
20,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
25,medium,medium,medium,,0.25,0.6363636363636364,11,low,not_available_from_labeled_frames
30,medium,medium,medium,,0.8461538461538461,0.44,25,high,not_available_from_labeled_frames
31,wide,wide,wide,,0.6666666666666666,1.0,2,high,not_available_from_labeled_frames
56,object,object,object,,1.0,0.3939393939393939,33,high,not_available_from_labeled_frames
57,close-up,object,object,,1.0,0.7142857142857143,7,high,not_available_from_labeled_frames
68,object,object,object,,1.0,1.0,5,high,not_available_from_labeled_frames
69,object,object,object,,1.0,0.6666666666666666,6,high,not_available_from_labeled_frames
75,wide,medium,medium,,0.3,0.3333333333333333,9,low,not_available_from_labeled_frames
97,close-up,wide,object,,0.8333333333333334,0.4,5,high,not_available_from_labeled_frames
100,object,object,object,,0.8,0.5,4,high,not_available_from_labeled_frames
106,object,wide,space,,0.125,0.7142857142857143,7,low,not_available_from_labeled_frames
110,object,space,object,,1.0,0.25,4,high,not_available_from_labeled_frames
114,close-up,close-up,close-up,,0.7333333333333333,0.35714285714285715,14,high,not_available_from_labeled_frames
119,medium,wide,medium,,0.6428571428571429,0.5384615384615384,13,high,not_available_from_labeled_frames
122,object,medium,object,,0.6666666666666666,0.5,2,high,not_available_from_labeled_frames
138,space,object,medium,,0.5714285714285714,0.16666666666666666,6,high,not_available_from_labeled_frames
139,medium,medium,medium,,0.3333333333333333,0.4,5,low,not_available_from_labeled_frames
144,close-up,close-up,close-up,,1.0,0.625,8,high,not_available_from_labeled_frames
148,close-up,close-up,close-up,,1.0,0.0,0,high,not_available_from_labeled_frames
157,medium,medium,medium,,1.0,0.5,8,high,not_available_from_labeled_frames
164,medium,medium,medium,,0.5,1.0,1,high,not_available_from_labeled_frames
179,close-up,close-up,close-up,,1.0,0.0,0,high,not_available_from_labeled_frames
185,close-up,close-up,close-up,,0.8,1.0,4,high,not_available_from_labeled_frames
189,close-up,medium,close-up,,1.0,0.6666666666666666,3,high,not_available_from_labeled_frames
194,medium,close-up,close-up,,0.75,0.6666666666666666,3,high,not_available_from_labeled_frames
210,close-up,close-up,close-up,,1.0,0.65,20,high,not_available_from_labeled_frames
211,close-up,medium,medium,,1.0,0.375,8,high,not_available_from_labeled_frames
217,close-up,close-up,close-up,,1.0,1.0,1,high,not_available_from_labeled_frames
219,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
