filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_threshold,text_probability,shot_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_001.jpg,0056_cut_001.jpg,56,close-up_text,close-up,1,close-up_text,test,617,0,2,object,1,1,0.46,0.9949449,0.9731093,0.96819013,False,True,False,0.01835879,0.0049552405,0.9731093,0.0034863723,9.023629e-05
C:\Temp\shot-classification\labeled_dataset\medium_text\0110_cut_003.jpg,0110_cut_003.jpg,110,medium_text,medium,1,medium_text,test,1039,1,2,object,1,1,0.46,0.99809486,0.90745604,0.9057272,False,True,False,0.02308741,0.050737694,0.90745604,0.015456506,0.003262369
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_011.jpg,0119_cut_011.jpg,119,close-up_text,close-up,1,close-up_text,test,1107,0,1,medium,1,1,0.46,0.9995004,0.9009228,0.90047264,False,True,False,0.080042474,0.9009228,0.0091391355,8.0325124e-05,0.009815247
C:\Temp\shot-classification\labeled_dataset\object_text\0110_cut_005.jpg,0110_cut_005.jpg,110,object_text,object,1,object_text,test,1042,2,3,space,1,1,0.46,0.9872372,0.9007514,0.88925534,False,True,False,8.018518e-05,0.00090543006,0.08471966,0.9007514,0.013543231
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_017.jpg,0056_cut_017.jpg,56,object_text,object,1,object_text,test,626,2,3,space,1,1,0.46,0.9563386,0.8924227,0.8534582,False,True,False,4.1211068e-05,0.0006000067,0.09316693,0.8924227,0.01376917
C:\Temp\shot-classification\labeled_dataset\close-up_text\0056_cut_018.jpg,0056_cut_018.jpg,56,close-up_text,close-up,1,close-up_text,test,618,0,2,object,1,1,0.46,0.90731114,0.9328336,0.84637034,False,True,False,0.04651916,0.014733518,0.9328336,0.005498446,0.00041536716
C:\Temp\shot-classification\labeled_dataset\close-up_text\0097_cut_005.jpg,0097_cut_005.jpg,97,close-up_text,close-up,1,close-up_text,test,940,0,2,object,1,1,0.46,0.99907744,0.8330293,0.8322608,False,True,False,0.085184805,0.076658934,0.8330293,0.0039643846,0.0011625845
C:\Temp\shot-classification\labeled_dataset\wide_text\0019_cut_004.jpg,0019_cut_004.jpg,19,wide_text,wide,1,wide_text,test,223,4,4,wide,1,0,0.46,0.098493055,0.92284584,0.831952,True,False,False,0.0009949255,0.057742037,0.0014037304,0.017013453,0.92284584
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_011.jpg,0017_cut_011.jpg,17,wide_text,wide,1,wide_text,test,214,4,1,medium,1,1,0.46,0.9891121,0.80913776,0.80032796,False,True,False,0.009577523,0.80913776,0.0005424021,0.00011399424,0.18062831
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_008.jpg,0017_cut_008.jpg,17,wide_text,wide,1,wide_text,test,212,4,1,medium,1,1,0.46,0.9958728,0.79937863,0.79607946,False,True,False,0.012918109,0.79937863,0.002421066,0.00045162888,0.18483068
C:\Temp\shot-classification\labeled_dataset\wide_text\0017_cut_014.jpg,0017_cut_014.jpg,17,wide_text,wide,1,wide_text,test,216,4,1,medium,1,1,0.46,0.98811007,0.7905344,0.78113496,False,True,False,0.011054678,0.7905344,0.00080998125,0.00020915485,0.1973918
C:\Temp\shot-classification\labeled_dataset\space_text\0106_cut_003.jpg,0106_cut_003.jpg,106,space_text,space,1,space_text,test,997,3,3,space,1,0,0.46,0.17869148,0.9457879,0.77678365,True,False,False,0.00023915095,0.0010778444,0.031082146,0.9457879,0.021813028
C:\Temp\shot-classification\labeled_dataset\close-up_text\0017_cut_005.jpg,0017_cut_005.jpg,17,close-up_text,close-up,1,close-up_text,test,203,0,2,object,1,1,0.46,0.9919762,0.781221,0.7749526,False,True,False,0.10486573,0.095211,0.781221,0.013623397,0.005078893
C:\Temp\shot-classification\labeled_dataset\space_text\0106_cut_005.jpg,0106_cut_005.jpg,106,space_text,space,1,space_text,test,998,3,3,space,1,0,0.46,0.1313627,0.8786126,0.7631957,True,False,False,0.0009329339,0.0048985425,0.04054094,0.8786126,0.07501497
C:\Temp\shot-classification\labeled_dataset\wide_notext\0138_cut_004.jpg,0138_cut_004.jpg,138,wide_notext,wide,0,wide_notext,test,1251,4,1,medium,0,0,0.46,0.04979079,0.8005399,0.7606804,False,True,False,0.06579133,0.8005399,0.001091728,0.00020851576,0.13236848
C:\Temp\shot-classification\labeled_dataset\medium_text\0119_cut_015.jpg,0119_cut_015.jpg,119,medium_text,medium,1,medium_text,test,1112,1,4,wide,1,1,0.46,0.97866815,0.7418882,0.72606236,False,True,False,0.0030462306,0.17726904,0.02004712,0.05774942,0.7418882
C:\Temp\shot-classification\labeled_dataset\close-up_text\0144_cut_009.jpg,0144_cut_009.jpg,144,close-up_text,close-up,1,close-up_text,test,1301,0,1,medium,1,1,0.46,0.9928148,0.7265539,0.72133344,False,True,False,0.27185562,0.7265539,0.000662225,1.4669527e-06,0.00092675333
C:\Temp\shot-classification\labeled_dataset\close-up_text\0148_cut_001.jpg,0148_cut_001.jpg,148,close-up_text,close-up,1,close-up_text,test,1338,0,1,medium,1,1,0.46,0.99175805,0.7268839,0.72089297,False,True,False,0.27003318,0.7268839,0.0012021106,7.088449e-06,0.001873641
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_002.jpg,0185_cut_002.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1595,0,0,close-up,0,1,0.46,0.74764246,0.9631966,0.7201266,True,False,False,0.9631966,0.03676645,3.544091e-05,4.534604e-09,1.451562e-06
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_003.jpg,0025_cut_003.jpg,25,medium_text,medium,1,medium_text,test,298,1,1,medium,1,0,0.46,0.25439718,0.93237877,0.6951843,True,False,False,0.042951554,0.93237877,3.5447403e-05,1.9356623e-06,0.02463237
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_001.jpg,0119_cut_001.jpg,119,close-up_text,close-up,1,close-up_text,test,1102,0,1,medium,1,0,0.46,0.13552459,0.7967163,0.6887416,False,False,False,0.1886961,0.7967163,0.00066911255,2.0299964e-05,0.013898171
C:\Temp\shot-classification\labeled_dataset\object_notext\0122_cut_002.jpg,0122_cut_002.jpg,122,object_notext,object,0,object_notext,test,1127,2,2,object,0,1,0.46,0.9835653,0.6948599,0.6834401,True,False,False,0.057012193,0.13660768,0.6948599,0.07991485,0.031605367
C:\Temp\shot-classification\labeled_dataset\close-up_text\0210_cut_003.jpg,0210_cut_003.jpg,210,close-up_text,close-up,1,close-up_text,test,1864,0,1,medium,1,1,0.46,0.99622214,0.684424,0.68183833,False,True,False,0.30972496,0.684424,0.0050093085,3.7599864e-06,0.0008380452
C:\Temp\shot-classification\labeled_dataset\medium_text\0114_cut_012.jpg,0114_cut_012.jpg,114,medium_text,medium,1,medium_text,test,1085,1,0,close-up,1,1,0.46,0.9702138,0.69853115,0.67772454,False,True,False,0.69853115,0.28699487,0.014005059,2.174976e-05,0.00044714366
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_010.jpg,0075_cut_010.jpg,75,medium_text,medium,1,medium_text,test,750,1,1,medium,1,0,0.46,0.078686655,0.7345491,0.6767499,True,False,False,0.23369734,0.7345491,0.0011152406,7.989317e-05,0.030558469
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_009.jpg,0075_cut_009.jpg,75,medium_text,medium,1,medium_text,test,749,1,1,medium,1,0,0.46,0.208702,0.8466572,0.6699582,True,False,False,0.1415044,0.8466572,8.637315e-05,3.0429076e-06,0.011748854
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_004.jpg,0189_cut_004.jpg,189,close-up_text,close-up,1,close-up_text,test,1618,0,1,medium,1,1,0.46,0.9889038,0.67730683,0.66979134,False,True,False,0.25420514,0.67730683,0.061696693,0.0004244662,0.0063669207
