filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_threshold,text_probability,shot_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide
C:\Temp\shot-classification\labeled_dataset\space_text\0056_cut_026.jpg,0056_cut_026.jpg,56,space_text,space,1,space_text,test,647,3,4,wide,1,1,0.46,0.49619442,0.6091454,0.30689085,False,True,False,0.00041621376,0.02198974,0.021046001,0.34740266,0.6091454
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_001.jpg,0139_cut_001.jpg,139,medium_notext,medium,0,medium_notext,test,1252,1,1,medium,0,1,0.46,0.49937588,0.6198747,0.31032422,True,False,False,0.37793204,0.6198747,0.0005330011,2.7276355e-06,0.0016574308
C:\Temp\shot-classification\labeled_dataset\medium_text\0017_cut_003.jpg,0017_cut_003.jpg,17,medium_text,medium,1,medium_text,test,204,1,1,medium,1,0,0.46,0.42480725,0.54415154,0.31299204,True,False,False,0.0064594885,0.54415154,0.00015326023,0.0001242756,0.4491113
C:\Temp\shot-classification\labeled_dataset\space_text\0056_cut_011.jpg,0056_cut_011.jpg,56,space_text,space,1,space_text,test,642,3,4,wide,1,0,0.46,0.36945546,0.49821073,0.31414405,False,False,False,8.140612e-05,0.0051591466,0.0042640925,0.49228466,0.49821073
C:\Temp\shot-classification\labeled_dataset\close-up_text\0122_cut_001.jpg,0122_cut_001.jpg,122,close-up_text,close-up,1,close-up_text,test,1125,0,2,object,1,1,0.46,0.5636874,0.58109933,0.32755837,False,True,False,0.19082262,0.15559961,0.58109933,0.051604208,0.020874117
C:\Temp\shot-classification\labeled_dataset\medium_notext\0119_cut_012.jpg,0119_cut_012.jpg,119,medium_notext,medium,0,medium_notext,test,1109,1,1,medium,0,0,0.46,0.44493103,0.5962179,0.33094203,True,True,True,0.03161322,0.5962179,0.043616403,0.0066530923,0.32189935
C:\Temp\shot-classification\labeled_dataset\wide_text\0075_cut_003.jpg,0075_cut_003.jpg,75,wide_text,wide,1,wide_text,test,752,4,4,wide,1,0,0.46,0.45254183,0.61247635,0.33530518,True,False,False,0.005178502,0.3814691,0.0004360432,0.00043996383,0.61247635
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_006.jpg,0114_cut_006.jpg,114,close-up_text,close-up,1,close-up_text,test,1078,0,0,close-up,1,0,0.46,0.39353156,0.56335807,0.3416589,True,False,False,0.56335807,0.4344787,0.00095889845,6.5465288e-06,0.0011978135
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_022.jpg,0056_cut_022.jpg,56,object_text,object,1,object_text,test,627,2,2,object,1,1,0.46,0.7278384,0.49655855,0.36141437,True,True,True,0.0012329215,0.0021897273,0.49655855,0.49436224,0.0056566545
C:\Temp\shot-classification\labeled_dataset\object_text\0100_cut_007.jpg,0100_cut_007.jpg,100,object_text,object,1,object_text,test,956,2,4,wide,1,1,0.46,0.99135274,0.36886492,0.36567524,False,True,False,0.023547435,0.36177725,0.15907747,0.08673291,0.36886492
C:\Temp\shot-classification\labeled_dataset\close-up_text\0019_cut_002.jpg,0019_cut_002.jpg,19,close-up_text,close-up,1,close-up_text,test,220,0,1,medium,1,0,0.46,0.334312,0.5538849,0.36871457,False,False,False,0.44045335,0.5538849,0.0019614792,2.7902814e-05,0.0036722657
C:\Temp\shot-classification\labeled_dataset\wide_text\0031_cut_003.jpg,0031_cut_003.jpg,31,wide_text,wide,1,wide_text,test,379,4,4,wide,1,1,0.46,0.48467875,0.7726511,0.39816353,True,True,True,0.0064695836,0.19865772,0.0072554434,0.014966137,0.7726511
C:\Temp\shot-classification\labeled_dataset\medium_text\0017_cut_006.jpg,0017_cut_006.jpg,17,medium_text,medium,1,medium_text,test,206,1,1,medium,1,1,0.46,0.9944793,0.41190672,0.4096327,True,True,True,0.2122881,0.41190672,0.34709126,0.0083758375,0.020338083
C:\Temp\shot-classification\labeled_dataset\close-up_text\0114_cut_011.jpg,0114_cut_011.jpg,114,close-up_text,close-up,1,close-up_text,test,1080,0,0,close-up,1,0,0.46,0.19688983,0.5122752,0.41141343,True,False,False,0.5122752,0.4837767,0.0009849139,1.4843225e-05,0.002948366
C:\Temp\shot-classification\labeled_dataset\medium_text\0097_cut_008.jpg,0097_cut_008.jpg,97,medium_text,medium,1,medium_text,test,942,1,4,wide,1,1,0.46,0.9683071,0.43384302,0.42009327,False,True,False,0.014363799,0.24900438,0.15991534,0.14287345,0.43384302
C:\Temp\shot-classification\labeled_dataset\object_notext\0138_cut_002.jpg,0138_cut_002.jpg,138,object_notext,object,0,object_notext,test,1248,2,3,space,0,1,0.46,0.55044883,0.7652584,0.4212356,False,False,False,0.00080892583,0.0027654618,0.21401936,0.7652584,0.017147824
C:\Temp\shot-classification\labeled_dataset\medium_text\0019_cut_001.jpg,0019_cut_001.jpg,19,medium_text,medium,1,medium_text,test,221,1,1,medium,1,0,0.46,0.25729492,0.5710054,0.42408863,True,False,False,0.03408478,0.5710054,0.013706515,0.0068091233,0.37439424
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_005.jpg,0157_cut_005.jpg,157,medium_text,medium,1,medium_text,test,1373,1,1,medium,1,1,0.46,0.86485344,0.49694914,0.42978817,True,True,True,0.46728522,0.49694914,0.029172752,0.00041470758,0.0061782706
C:\Temp\shot-classification\labeled_dataset\space_text\0114_cut_007.jpg,0114_cut_007.jpg,114,space_text,space,1,space_text,test,1088,3,4,wide,1,0,0.46,0.17352213,0.52265024,0.43195885,False,False,False,0.00028967942,0.009790439,0.007631979,0.45963767,0.52265024
