true_class,pred_class,count,ratio_within_true
close-up,medium,26,0.3466666666666667
wide,medium,8,0.25
close-up,object,8,0.10666666666666667
medium,close-up,6,0.06741573033707865
medium,wide,5,0.056179775280898875
object,space,4,0.07142857142857142
space,wide,3,0.13043478260869565
medium,space,3,0.033707865168539325
medium,object,2,0.02247191011235955
object,wide,1,0.017857142857142856
close-up,space,1,0.013333333333333334
close-up,wide,0,0.0
object,close-up,0,0.0
object,medium,0,0.0
space,close-up,0,0.0
space,medium,0,0.0
space,object,0,0.0
wide,close-up,0,0.0
wide,object,0,0.0
wide,space,0,0.0
