video_id,opening_shot_type,ending_shot_type,dominant_shot_type,fast_cut_ratio,text_cut_ratio,repeated_shot_ratio,transition_count,text_density_level,cut_speed_category
6,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
17,medium,medium,medium,,0.9285714285714286,0.6923076923076923,13,high,not_available_from_labeled_frames
19,medium,wide,medium,,0.25,0.3333333333333333,3,low,not_available_from_labeled_frames
20,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
25,medium,medium,medium,,0.25,0.6363636363636364,11,low,not_available_from_labeled_frames
30,medium,medium,medium,,0.8846153846153846,0.44,25,high,not_available_from_labeled_frames
31,wide,wide,wide,,0.6666666666666666,1.0,2,high,not_available_from_labeled_frames
56,object,object,object,,0.9411764705882353,0.3939393939393939,33,high,not_available_from_labeled_frames
57,close-up,object,object,,1.0,0.5714285714285714,7,high,not_available_from_labeled_frames
68,object,object,object,,1.0,1.0,5,high,not_available_from_labeled_frames
69,object,object,object,,1.0,0.6666666666666666,6,high,not_available_from_labeled_frames
75,wide,medium,medium,,0.2,0.3333333333333333,9,low,not_available_from_labeled_frames
97,close-up,wide,close-up,,0.8333333333333334,0.2,5,high,not_available_from_labeled_frames
100,object,object,object,,0.8,0.5,4,high,not_available_from_labeled_frames
106,space,space,space,,0.125,1.0,7,low,not_available_from_labeled_frames
110,object,space,object,,1.0,0.25,4,high,not_available_from_labeled_frames
114,close-up,close-up,close-up,,0.6666666666666666,0.35714285714285715,14,high,not_available_from_labeled_frames
119,medium,wide,medium,,0.5714285714285714,0.6153846153846154,13,high,not_available_from_labeled_frames
122,object,medium,object,,0.6666666666666666,0.5,2,high,not_available_from_labeled_frames
138,space,object,medium,,0.42857142857142855,0.3333333333333333,6,low,not_available_from_labeled_frames
139,medium,medium,medium,,0.16666666666666666,0.6,5,low,not_available_from_labeled_frames
144,medium,medium,medium,,1.0,0.5,8,high,not_available_from_labeled_frames
148,medium,medium,medium,,1.0,0.0,0,high,not_available_from_labeled_frames
157,medium,medium,medium,,1.0,0.5,8,high,not_available_from_labeled_frames
164,medium,medium,medium,,0.5,1.0,1,high,not_available_from_labeled_frames
179,medium,medium,medium,,1.0,0.0,0,high,not_available_from_labeled_frames
185,close-up,close-up,close-up,,0.8,1.0,4,high,not_available_from_labeled_frames
189,medium,medium,medium,,1.0,0.3333333333333333,3,high,not_available_from_labeled_frames
194,medium,close-up,close-up,,0.75,0.6666666666666666,3,high,not_available_from_labeled_frames
210,close-up,close-up,close-up,,1.0,0.65,20,high,not_available_from_labeled_frames
211,close-up,medium,medium,,1.0,0.625,8,high,not_available_from_labeled_frames
217,close-up,close-up,close-up,,1.0,1.0,1,high,not_available_from_labeled_frames
219,medium,medium,medium,,1.0,1.0,4,high,not_available_from_labeled_frames
