filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_006.jpg,0013_cut_006.jpg,0013,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_012.jpg,0013_cut_012.jpg,0013,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_017.jpg,0013_cut_017.jpg,0013,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0015_cut_001.jpg,0015_cut_001.jpg,0015,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_012.jpg,0024_cut_012.jpg,0024,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_016.jpg,0024_cut_016.jpg,0024,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_019.jpg,0024_cut_019.jpg,0024,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_026.jpg,0024_cut_026.jpg,0024,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_001.jpg,0036_cut_001.jpg,0036,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_008.jpg,0036_cut_008.jpg,0036,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_009.jpg,0036_cut_009.jpg,0036,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0037_cut_002.jpg,0037_cut_002.jpg,0037,close-up_notext,close-up,0,close-up_notext,test
C:\Temp\deep\labeled_dataset\close-up_notext\0044_cut_011.jpg,0044_cut_011.jpg,0044,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0044_cut_018.jpg,0044_cut_018.jpg,0044,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0048_cut_027.jpg,0048_cut_027.jpg,0048,close-up_notext,close-up,0,close-up_notext,test
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_002.jpg,0081_cut_002.jpg,0081,close-up_notext,close-up,0,close-up_notext,train
