filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_006.jpg,0013_cut_006.jpg,13,close-up_notext,close-up,0,close-up_notext,train,0
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_012.jpg,0013_cut_012.jpg,13,close-up_notext,close-up,0,close-up_notext,train,1
C:\Temp\deep\labeled_dataset\close-up_notext\0013_cut_017.jpg,0013_cut_017.jpg,13,close-up_notext,close-up,0,close-up_notext,train,2
C:\Temp\deep\labeled_dataset\close-up_notext\0015_cut_001.jpg,0015_cut_001.jpg,15,close-up_notext,close-up,0,close-up_notext,train,3
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_012.jpg,0024_cut_012.jpg,24,close-up_notext,close-up,0,close-up_notext,train,4
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_016.jpg,0024_cut_016.jpg,24,close-up_notext,close-up,0,close-up_notext,train,5
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_019.jpg,0024_cut_019.jpg,24,close-up_notext,close-up,0,close-up_notext,train,6
C:\Temp\deep\labeled_dataset\close-up_notext\0024_cut_026.jpg,0024_cut_026.jpg,24,close-up_notext,close-up,0,close-up_notext,train,7
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_001.jpg,0036_cut_001.jpg,36,close-up_notext,close-up,0,close-up_notext,train,8
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_008.jpg,0036_cut_008.jpg,36,close-up_notext,close-up,0,close-up_notext,train,9
C:\Temp\deep\labeled_dataset\close-up_notext\0036_cut_009.jpg,0036_cut_009.jpg,36,close-up_notext,close-up,0,close-up_notext,train,10
C:\Temp\deep\labeled_dataset\close-up_notext\0037_cut_002.jpg,0037_cut_002.jpg,37,close-up_notext,close-up,0,close-up_notext,test,11
C:\Temp\deep\labeled_dataset\close-up_notext\0044_cut_011.jpg,0044_cut_011.jpg,44,close-up_notext,close-up,0,close-up_notext,train,12
C:\Temp\deep\labeled_dataset\close-up_notext\0044_cut_018.jpg,0044_cut_018.jpg,44,close-up_notext,close-up,0,close-up_notext,train,13
C:\Temp\deep\labeled_dataset\close-up_notext\0048_cut_027.jpg,0048_cut_027.jpg,48,close-up_notext,close-up,0,close-up_notext,test,14
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_002.jpg,0081_cut_002.jpg,81,close-up_notext,close-up,0,close-up_notext,train,15
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_003.jpg,0081_cut_003.jpg,81,close-up_notext,close-up,0,close-up_notext,train,16
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_004.jpg,0081_cut_004.jpg,81,close-up_notext,close-up,0,close-up_notext,train,17
C:\Temp\deep\labeled_dataset\close-up_notext\0084_cut_004.jpg,0084_cut_004.jpg,84,close-up_notext,close-up,0,close-up_notext,train,18
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_003.jpg,0085_cut_003.jpg,85,close-up_notext,close-up,0,close-up_notext,train,19
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_007.jpg,0085_cut_007.jpg,85,close-up_notext,close-up,0,close-up_notext,train,20
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_008.jpg,0085_cut_008.jpg,85,close-up_notext,close-up,0,close-up_notext,train,21
C:\Temp\deep\labeled_dataset\close-up_notext\0089_cut_001.jpg,0089_cut_001.jpg,89,close-up_notext,close-up,0,close-up_notext,val,22
C:\Temp\deep\labeled_dataset\close-up_notext\0098_cut_003.jpg,0098_cut_003.jpg,98,close-up_notext,close-up,0,close-up_notext,train,23
C:\Temp\deep\labeled_dataset\close-up_notext\0098_cut_004.jpg,0098_cut_004.jpg,98,close-up_notext,close-up,0,close-up_notext,train,24
C:\Temp\deep\labeled_dataset\close-up_notext\0114_cut_001.jpg,0114_cut_001.jpg,114,close-up_notext,close-up,0,close-up_notext,test,25
C:\Temp\deep\labeled_dataset\close-up_notext\0114_cut_015.jpg,0114_cut_015.jpg,114,close-up_notext,close-up,0,close-up_notext,test,26
C:\Temp\deep\labeled_dataset\close-up_notext\0123_cut_001.jpg,0123_cut_001.jpg,123,close-up_notext,close-up,0,close-up_notext,train,27
C:\Temp\deep\labeled_dataset\close-up_notext\0127_cut_001.jpg,0127_cut_001.jpg,127,close-up_notext,close-up,0,close-up_notext,train,28
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_002.jpg,0002_cut_002.jpg,2,close-up_text,close-up,1,close-up_text,train,29
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_003.jpg,0002_cut_003.jpg,2,close-up_text,close-up,1,close-up_text,train,30
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_004.jpg,0002_cut_004.jpg,2,close-up_text,close-up,1,close-up_text,train,31
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_005.jpg,0002_cut_005.jpg,2,close-up_text,close-up,1,close-up_text,train,32
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_006.jpg,0002_cut_006.jpg,2,close-up_text,close-up,1,close-up_text,train,33
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_007.jpg,0002_cut_007.jpg,2,close-up_text,close-up,1,close-up_text,train,34
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_008.jpg,0002_cut_008.jpg,2,close-up_text,close-up,1,close-up_text,train,35
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_009.jpg,0002_cut_009.jpg,2,close-up_text,close-up,1,close-up_text,train,36
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_010.jpg,0002_cut_010.jpg,2,close-up_text,close-up,1,close-up_text,train,37
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_011.jpg,0002_cut_011.jpg,2,close-up_text,close-up,1,close-up_text,train,38
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_012.jpg,0002_cut_012.jpg,2,close-up_text,close-up,1,close-up_text,train,39
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_013.jpg,0002_cut_013.jpg,2,close-up_text,close-up,1,close-up_text,train,40
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_014.jpg,0002_cut_014.jpg,2,close-up_text,close-up,1,close-up_text,train,41
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_006.jpg,0004_cut_006.jpg,4,close-up_text,close-up,1,close-up_text,val,42
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_009.jpg,0004_cut_009.jpg,4,close-up_text,close-up,1,close-up_text,val,43
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_010.jpg,0004_cut_010.jpg,4,close-up_text,close-up,1,close-up_text,val,44
C:\Temp\deep\labeled_dataset\close-up_text\0009_cut_006.jpg,0009_cut_006.jpg,9,close-up_text,close-up,1,close-up_text,train,45
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_002.jpg,0011_cut_002.jpg,11,close-up_text,close-up,1,close-up_text,train,46
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_015.jpg,0011_cut_015.jpg,11,close-up_text,close-up,1,close-up_text,train,47
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_016.jpg,0011_cut_016.jpg,11,close-up_text,close-up,1,close-up_text,train,48
C:\Temp\deep\labeled_dataset\close-up_text\0013_cut_002.jpg,0013_cut_002.jpg,13,close-up_text,close-up,1,close-up_text,train,49
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_004.jpg,0015_cut_004.jpg,15,close-up_text,close-up,1,close-up_text,train,50
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_005.jpg,0015_cut_005.jpg,15,close-up_text,close-up,1,close-up_text,train,51
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_006.jpg,0015_cut_006.jpg,15,close-up_text,close-up,1,close-up_text,train,52
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_007.jpg,0015_cut_007.jpg,15,close-up_text,close-up,1,close-up_text,train,53
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_009.jpg,0015_cut_009.jpg,15,close-up_text,close-up,1,close-up_text,train,54
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_010.jpg,0015_cut_010.jpg,15,close-up_text,close-up,1,close-up_text,train,55
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_011.jpg,0015_cut_011.jpg,15,close-up_text,close-up,1,close-up_text,train,56
