video_id,video_name,detector,scene_count,avg_scene_duration_sec,text_scene_count,shot_label_counts,overlay_path
0065,0065_DXzJBQKz7AK.mp4,Previous adaptive frame-diff,1,23.3,0,"{""object"": 1}",C:\Temp\deep\outputs_video_batch_test\0065_DXzJBQKz7AK\0065_DXzJBQKz7AK_overlay.mp4
0065,0065_DXzJBQKz7AK.mp4,PySceneDetect ContentDetector,1,23.3,0,"{""object"": 1}",C:\Temp\deep\outputs_video_pyscenedetect_compare\0065_DXzJBQKz7AK\0065_DXzJBQKz7AK_pyscenedetect_overlay.mp4
0065,0065_DXzJBQKz7AK.mp4,CLIP adjacent embedding distance,4,5.825,2,"{""object"": 4}",C:\Temp\deep\outputs_video_clip_distance_compare\0065_DXzJBQKz7AK\0065_DXzJBQKz7AK_clip_distance_overlay.mp4
0099,0099_DS53BHjkh5o.mp4,Previous adaptive frame-diff,3,4.922222222222222,2,"{""object"": 2, ""space"": 1}",C:\Temp\deep\outputs_video_batch_test\0099_DS53BHjkh5o\0099_DS53BHjkh5o_overlay.mp4
0099,0099_DS53BHjkh5o.mp4,PySceneDetect ContentDetector,1,14.766666666666667,0,"{""medium"": 1}",C:\Temp\deep\outputs_video_pyscenedetect_compare\0099_DS53BHjkh5o\0099_DS53BHjkh5o_pyscenedetect_overlay.mp4
0099,0099_DS53BHjkh5o.mp4,CLIP adjacent embedding distance,6,2.4611111111111112,4,"{""object"": 4, ""medium"": 1, ""wide"": 1}",C:\Temp\deep\outputs_video_clip_distance_compare\0099_DS53BHjkh5o\0099_DS53BHjkh5o_clip_distance_overlay.mp4
0022,0022_DXWtSqsEk71.mp4,Previous adaptive frame-diff,10,1.760029761904762,10,"{""medium"": 9, ""wide"": 1}",C:\Temp\deep\outputs_video_batch_test\0022_DXWtSqsEk71\0022_DXWtSqsEk71_overlay.mp4
0022,0022_DXWtSqsEk71.mp4,PySceneDetect ContentDetector,4,4.400074404761905,4,"{""medium"": 4}",C:\Temp\deep\outputs_video_pyscenedetect_compare\0022_DXWtSqsEk71\0022_DXWtSqsEk71_pyscenedetect_overlay.mp4
0022,0022_DXWtSqsEk71.mp4,CLIP adjacent embedding distance,8,2.2000372023809525,7,"{""medium"": 7, ""wide"": 1}",C:\Temp\deep\outputs_video_clip_distance_compare\0022_DXWtSqsEk71\0022_DXWtSqsEk71_clip_distance_overlay.mp4
0083,0083_DUigMzGEY1J.mp4,Previous adaptive frame-diff,6,1.1944444444444446,3,"{""wide"": 6}",C:\Temp\deep\outputs_video_batch_test\0083_DUigMzGEY1J\0083_DUigMzGEY1J_overlay.mp4
0083,0083_DUigMzGEY1J.mp4,PySceneDetect ContentDetector,8,0.8958333333333333,3,"{""wide"": 8}",C:\Temp\deep\outputs_video_pyscenedetect_compare\0083_DUigMzGEY1J\0083_DUigMzGEY1J_pyscenedetect_overlay.mp4
0083,0083_DUigMzGEY1J.mp4,CLIP adjacent embedding distance,5,1.4333333333333331,2,"{""wide"": 5}",C:\Temp\deep\outputs_video_clip_distance_compare\0083_DUigMzGEY1J\0083_DUigMzGEY1J_clip_distance_overlay.mp4
